Publication,Title,Date,Label
Carbon Brief,Cropped 11 January 2023: Brazil under Lula; COP15 reaction; EU ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
Phys.org,Deforestation: Proposed EU import ban may fail to protect tropical rainforests and farmers. How it should work,"Mon, 09 Jan 2023 08:00:00 GMT",deforestation
PRI,Investors Policy Dialogue on Deforestation (IPDD) | PRI Web Page,"Mon, 16 Jan 2023 08:00:00 GMT",deforestation
The Conversation Indonesia,Why Queensland is still ground zero for Australian deforestation,"Fri, 27 Jan 2023 05:45:49 GMT",deforestation
Anadolu Agency | English,Brazil's Amazon saw worst deforestation levels in 15 years in 2022 ...,"Fri, 20 Jan 2023 08:00:00 GMT",deforestation
Eco-Business,Palm oil buyers compromise no,"Tue, 17 Jan 2023 08:00:00 GMT",deforestation
Mighty Earth,Sweet Nothings: Deforestation Remains High across Ghana & Côte ...,"Fri, 13 Jan 2023 08:00:00 GMT",deforestation
SGGP News,Lam Dong Province discovers 19 illegal deforestation cases in ...,"Fri, 03 Feb 2023 01:51:02 GMT",deforestation
UNEP,Faith groups help to save disappearing forests,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
Verra,"Technical Review of West et al. 2020 and 2023, Guizar","Tue, 31 Jan 2023 05:00:00 GMT",deforestation
The Brazilian Report,How Brazil can halve Amazon deforestation in the short term,"Thu, 02 Feb 2023 16:58:21 GMT",deforestation
Food Ingredients First,Deforestation debate: Indonesia and Malaysia clash with ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
The Weather Channel,"Farming More Seaweed Could Help Fight Food Crisis, Deforestation ...","Fri, 27 Jan 2023 08:13:08 GMT",deforestation
Chatham House,Heriberto Araujo: 'Small farmers can help save the Amazon',"Fri, 03 Feb 2023 12:00:00 GMT",deforestation
Plant Based News,1 Million Trees By 2035,"Thu, 02 Feb 2023 17:06:22 GMT",deforestation
ClientEarth,EUTR Newsletter,"Fri, 03 Feb 2023 10:56:50 GMT",deforestation
Myjoyonline,Communities to be rewarded for planting trees to reduce carbon ...,"Fri, 03 Feb 2023 13:10:42 GMT",deforestation
WINA AM 1070,Brazil authorities probe Amazon ties to capital attacks | NewsRadio ...,"Wed, 01 Feb 2023 19:36:31 GMT",deforestation
Centre Daily Times,‘Flagship species’ was devastated by deforestation. Now PA experts may bring it back,"Fri, 27 Jan 2023 21:38:32 GMT",deforestation
The Guardian,"Revealed: more than 90% of rainforest carbon offsets by biggest certifier are worthless, analysis shows","Wed, 18 Jan 2023 08:00:00 GMT",deforestation
ABC News,"Germany pledges $222 million for Brazil environment, Amazon","Mon, 30 Jan 2023 16:40:36 GMT",deforestation
CosmeticsDesign-Europe.com,'Deforestation,"Wed, 25 Jan 2023 12:30:34 GMT",deforestation
asianews.network,EU's green policy a priority for Asean,"Mon, 30 Jan 2023 03:59:36 GMT",deforestation
POLITICO Europe,EU,"Thu, 02 Feb 2023 05:00:00 GMT",deforestation
thethirdpole.net,Post,"Thu, 02 Feb 2023 03:30:00 GMT",deforestation
The Hill,Lula and Biden face a historic opportunity to protect the Amazon,"Wed, 01 Feb 2023 21:00:00 GMT",deforestation
Nature.com,The post,"Fri, 03 Feb 2023 10:50:12 GMT",deforestation
The Star Online,Deforestation is no longer an issue,"Sat, 14 Jan 2023 08:00:00 GMT",deforestation
ConfectioneryNews.com,"Over 55% of cocoa exports from Côte d'Ivoire 'untraceable', new ...","Thu, 02 Feb 2023 14:36:38 GMT",deforestation
Reuters,Brazil says plans green bond sale this year,"Thu, 26 Jan 2023 08:00:00 GMT",deforestation
Guitar World,Paul McCartney shares previously unreleased Jeff Beck collaboration,"Tue, 31 Jan 2023 11:00:25 GMT",deforestation
pnas.org,A pantropical assessment of deforestation caused by industrial ...,"Mon, 12 Sep 2022 07:00:00 GMT",deforestation
Science,Disentangling the numbers behind agriculture,"Fri, 09 Sep 2022 07:00:00 GMT",deforestation
Mongabay.com,Amazon's tallest tree at risk as deforestation nears,"Wed, 28 Dec 2022 08:00:00 GMT",deforestation
Environment America,The EU just took a major step to prevent deforestation around the ...,"Thu, 08 Dec 2022 08:00:00 GMT",deforestation
Nature.com,Deforestation slowed last year — but not enough to meet climate goals,"Mon, 24 Oct 2022 07:00:00 GMT",deforestation
CarbonCredits.com,U.S. to Sanction Brazil's Amazon Deforestation Criminals,"Fri, 25 Nov 2022 08:00:00 GMT",deforestation
CNBC,Deforestation in Brazilian Amazon hits tragic record in 2022,"Wed, 13 Jul 2022 07:00:00 GMT",deforestation
Economist Impact,Progress on COP26 pledges: deforestation,"Sun, 09 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,Deforestation is pushing Amazon to 'point of no return': WWF report,"Wed, 09 Nov 2022 08:00:00 GMT",deforestation
nasa.gov,Deforestation Follows a Road Through Ucayali,"Mon, 24 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,"To be effective, zero","Wed, 30 Nov 2022 08:00:00 GMT",deforestation
The Nature Conservancy,Landmark EU Legislation Will Make European Consumption ...,"Tue, 06 Dec 2022 08:00:00 GMT",deforestation
Reuters,Exclusive: Deforestation of Brazilian savanna surged some 25% in a ...,"Tue, 13 Dec 2022 08:00:00 GMT",deforestation
GreenBiz,COP27: This past year in deforestation,"Tue, 15 Nov 2022 08:00:00 GMT",deforestation
Mongabay.com,Zero,"Tue, 27 Dec 2022 08:00:00 GMT",deforestation
Ropes & Gray LLP,An Update on the EU Deforestation Regulation – The Parliament's ...,"Tue, 15 Nov 2022 08:00:00 GMT",deforestation
Greenpeace International,How deforestation is pushing the Amazon to a climate tipping point,"Fri, 26 Aug 2022 07:00:00 GMT",deforestation
CNN,"Deforestation is accelerating in Brazil as Bolsonaro's first term ends, experts say","Tue, 20 Sep 2022 07:00:00 GMT",deforestation
PBS NewsHour,Brazil’s Lula pledges ‘big fight’ against deforestation at COP27,"Wed, 16 Nov 2022 08:00:00 GMT",deforestation
Reuters,Analysis: The next Amazon? Congo Basin faces rising deforestation ...,"Fri, 11 Nov 2022 08:00:00 GMT",deforestation
Reuters,Deforestation of Brazilian Amazon retreats from 15,"Wed, 30 Nov 2022 08:00:00 GMT",deforestation
The New York Times,"Deforestation Remains High, Despite COP 26 Pledges","Thu, 28 Apr 2022 07:00:00 GMT",deforestation
LatestLY,"It's World Neglected Tropical Diseases Day! Reducing Deforestation, Unplanned Housing, ...","Mon, 30 Jan 2023 15:15:57 GMT",deforestation
Conservation International,News spotlight: Record deforestation could forever transform the ...,"Mon, 18 Jul 2022 07:00:00 GMT",deforestation
Mongabay.com,New app tells donors what communities need to stop deforestation ...,"Mon, 02 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,"In final days before Bolsonaro's defeat, deforestation boomed in Brazil","Fri, 11 Nov 2022 08:00:00 GMT",deforestation
Reuters,Norway says fund to reduce Amazon deforestation in Brazil back in ...,"Tue, 03 Jan 2023 08:00:00 GMT",deforestation
PBS NewsHour,Brazil’s Lula’s promises to end deforestation face challenges from traditional rubber tappers,"Fri, 23 Dec 2022 08:00:00 GMT",deforestation
Reuters,"World's top finance firms continue to fuel deforestation, report warns","Mon, 17 Oct 2022 07:00:00 GMT",deforestation
International Monetary Fund,Ugandan Climate Activists Fight Deforestation by Planting,"Thu, 10 Nov 2022 08:00:00 GMT",deforestation
NPR,Brazil's election could determine the fate of the Amazon after surging ...,"Sat, 01 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,Deforestation accelerated in Brazil while climate talks were ...,"Fri, 09 Dec 2022 08:00:00 GMT",deforestation
Mongabay.com,"Ahead of election, deforestation increased in Brazil","Fri, 07 Oct 2022 07:00:00 GMT",deforestation
Nature.com,Deforestation intensifies daily temperature variability in the northern ...,"Mon, 10 Oct 2022 07:00:00 GMT",deforestation
GreenBiz,A deforestation roadmap that leaves a lot to be desired,"Thu, 10 Nov 2022 08:00:00 GMT",deforestation
EcoWatch,Deforestation 101: Everything You Need to Know,"Wed, 12 Oct 2022 07:00:00 GMT",deforestation
Nature.com,Land tenure drives Brazil’s deforestation rates across socio ...,"Sat, 01 Oct 2022 07:00:00 GMT",deforestation
The Manila Times,The value of insects: Why we must act now to protect them,"Thu, 02 Feb 2023 15:58:08 GMT",deforestation
Mongabay.com,The Amazon will reach tipping point if current trend of deforestation ...,"Mon, 03 Oct 2022 07:00:00 GMT",deforestation
Carbon Brief,Cropped 24 November 2022: Deforestation pledges; Food systems ...,"Thu, 24 Nov 2022 08:00:00 GMT",deforestation
