Publication,Title,Date,Label
IEEFA,India's Union Budget: A mixed bag for the renewable energy sector ...,"Thu, 02 Feb 2023 08:47:12 GMT",renewable_energy
reNEWS,Plenitude starts production from Texas solar farm,"Fri, 03 Feb 2023 09:48:33 GMT",renewable_energy
European Commission,Electricity from renewable sources on the rise,"Fri, 27 Jan 2023 10:04:01 GMT",renewable_energy
Utility Dive,New England policymakers have the tech and funds for energy ...,"Fri, 03 Feb 2023 15:07:01 GMT",renewable_energy
reNEWS,TotalEnergies sells stake in 29 renewable projects,"Fri, 03 Feb 2023 08:13:31 GMT",renewable_energy
Environment America,Renewable energy predicted to grow,"Wed, 11 Jan 2023 08:00:00 GMT",renewable_energy
90.5 WESA,"Sen. Casey visits Lehigh Valley Crayola factory, highlights use of ...","Tue, 31 Jan 2023 10:31:00 GMT",renewable_energy
The Guardian,"This is an era of plentiful, cheap, renewable energy, but the fossil fuel dinosaurs can’t admit it","Fri, 20 Jan 2023 08:00:00 GMT",renewable_energy
reNEWS,JBM Solar submits Roundhill solar farm proposal,"Fri, 03 Feb 2023 15:29:45 GMT",renewable_energy
InsideClimate News,Four Big Things to Expect in Clean Energy in 2023,"Thu, 05 Jan 2023 08:00:00 GMT",renewable_energy
Forbes,"2023 Energy Predictions: IRA Spurs Clean Energy Boom, Electric Trucks Accelerate, Battery Demand Surges, EPA Cuts Power Sector Pollution","Mon, 09 Jan 2023 08:00:00 GMT",renewable_energy
Al-Monitor,"Turkey plans to expand renewable energy but sticks to coal, nuclear","Thu, 02 Feb 2023 12:38:07 GMT",renewable_energy
CleanTechnica,"Another Year, Another Record In Denmark’s Renewable Energy Progress","Sat, 14 Jan 2023 08:00:00 GMT",renewable_energy
reNEWS,UK energy groups call on Chancellor for more clean energy ...,"Fri, 03 Feb 2023 10:28:17 GMT",renewable_energy
ETEnergyWorld,Malaysia faces 'inconvenient truth' on clean energy goals,"Fri, 03 Feb 2023 07:45:00 GMT",renewable_energy
The Indian Express,"Minister: 2,150 MW capacity renewable energy projects installed in Punjab","Thu, 02 Feb 2023 22:06:28 GMT",renewable_energy
The Jakarta Post,Beware the risks of foreign capital in renewable energy sector,"Thu, 02 Feb 2023 23:56:13 GMT",renewable_energy
OilPrice.com,Renewable Energy Had A Banner Year In 2022,"Sun, 08 Jan 2023 08:00:00 GMT",renewable_energy
Reuters,"India, UAE close to deal on renewable electricity grid link, Indian ...","Sun, 15 Jan 2023 08:00:00 GMT",renewable_energy
PBS NewsHour,Alaska village's effort to go greener helps local economy,"Sat, 21 Jan 2023 08:00:00 GMT",renewable_energy
Deccan Herald,Sitharaman urges industry to set standards in renewable energy,"Fri, 03 Feb 2023 02:14:45 GMT",renewable_energy
Utility Dive,DOE launches updated mapping tool to optimize renewable energy ...,"Thu, 12 Jan 2023 08:00:00 GMT",renewable_energy
ABS-CBN News,DOE supports full foreign ownership for renewable energy projects,"Fri, 03 Feb 2023 09:56:00 GMT",renewable_energy
ITWeb,Renewable energy attracts SA’s coal miners,"Fri, 03 Feb 2023 09:46:58 GMT",renewable_energy
Euronews,Which European countries use the most renewable energy?,"Fri, 20 Jan 2023 08:00:00 GMT",renewable_energy
World Economic Forum,"The global energy crisis is causing hardships for many, but it's also ...","Fri, 06 Jan 2023 08:00:00 GMT",renewable_energy
EcoWatch,Record Renewable Energy Generation in Australia Led to Record ...,"Wed, 25 Jan 2023 08:00:00 GMT",renewable_energy
Forbes,"Russia’s Invasion Of Ukraine Triggers Renewable Energy Rush, Say World Leaders In Abu Dhabi","Sun, 15 Jan 2023 08:00:00 GMT",renewable_energy
Verizon,Verizon surpasses 3.0 gigawatts of projected renewable energy ...,"Thu, 12 Jan 2023 08:00:00 GMT",renewable_energy
American Public Power Association,Peninsula Clean Energy Signs Contracts Expanding Renewable ...,"Wed, 25 Jan 2023 12:00:00 GMT",renewable_energy
Reuters,Lula's Amazon pledge looks distant as Brazil battles deforestation,"Thu, 02 Feb 2023 10:35:00 GMT",deforestation
Vox.com,Palm oil is actually not that bad for the environment (anymore),"Thu, 02 Feb 2023 12:30:00 GMT",deforestation
National Geographic,Madagascar's sacred trees face existential threats in a changing world,"Fri, 03 Feb 2023 18:21:27 GMT",deforestation
The Guardian,Deforestation piles pressure on South America’s elusive Chacoan peccary,"Tue, 31 Jan 2023 09:31:00 GMT",deforestation
Al Jazeera English,Brazilian Amazon deforestation up 150% in Bolsonaro’s last month,"Sat, 07 Jan 2023 08:00:00 GMT",deforestation
BBC,Climate boss Carney's firm linked with deforestation,"Fri, 16 Dec 2022 08:00:00 GMT",deforestation
Vox.com,Foods like coffee and beef cause deforestation. This EU law could help fix the problem.,"Tue, 10 Jan 2023 08:00:00 GMT",deforestation
New Scientist,Amazon deforestation may shrink Himalayan snow and Antarctic ice,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Grist,Indigenous territories in the Brazilian Amazon effectively protect forests. Why is deforestation increasing?,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
The Guardian,EU ban on deforestation,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Changing circumstances turn 'sustainable communities' into ...,"Wed, 01 Feb 2023 22:59:32 GMT",deforestation
Mongabay.com,Indigenous communities threatened as deforestation rises in ...,"Mon, 30 Jan 2023 17:19:23 GMT",deforestation
Down To Earth Magazine,Warming beyond borders: Amazon deforestation heats up Tibet ...,"Fri, 03 Feb 2023 12:34:34 GMT",deforestation
Forbes,How Digital And Distributed Technology Are Being Used To Prevent Deforestation,"Thu, 26 Jan 2023 09:57:02 GMT",deforestation
Ecosystem Marketplace,Companies Increase Ambition to Protect Biodiversity from ...,"Mon, 30 Jan 2023 20:58:11 GMT",deforestation
Science,The drivers and impacts of Amazon forest degradation,"Thu, 26 Jan 2023 23:06:29 GMT",deforestation
EARTH.ORG,Global Deforestation in 2022: Can the World Reach the Global ...,"Thu, 02 Feb 2023 00:01:25 GMT",deforestation
Mongabay.com,From deforestation to restoration: Policy plots path to Amazon recovery,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
Reuters Canada,Exclusive: Brazil launches first anti,"Thu, 19 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Deforestation 'out of control' in reserve in Brazil's cattle capital,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
FoodNavigator.com,What does Europe's deforestation law mean for palm oil? RSPO ...,"Wed, 01 Feb 2023 11:27:12 GMT",deforestation
WRIC ABC 8News,Invasive species to deforestation: Virginia evaluates the state of the forest for 2022,"Fri, 27 Jan 2023 12:45:00 GMT",deforestation
Eco-Business,"Is there a case for 'high forest, low deforestation' carbon credits?","Wed, 01 Feb 2023 05:20:00 GMT",deforestation
Reuters,Despite their net,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Green Queen Media,Coffee and Chocolate Drive Deforestation and Human Rights Violations. Can the Industries Change?,"Wed, 01 Feb 2023 07:04:01 GMT",deforestation
Forbes,Brazil Already Has Its Best Tool Against Deforestation,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Venezuela's Yapacana National Park suffering increasing mining ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
chinadialogue,Coal extraction in Indonesia is driving deforestation,"Mon, 16 Jan 2023 08:00:00 GMT",deforestation
VOA Learning English,Brazil’s President Lula Works to Stop Amazon Deforestation,"Sun, 29 Jan 2023 21:57:24 GMT",deforestation
Carbon Brief,Cropped 11 January 2023: Brazil under Lula; COP15 reaction; EU ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
Phys.org,Deforestation: Proposed EU import ban may fail to protect tropical rainforests and farmers. How it should work,"Mon, 09 Jan 2023 08:00:00 GMT",deforestation
PRI,Investors Policy Dialogue on Deforestation (IPDD) | PRI Web Page,"Mon, 16 Jan 2023 08:00:00 GMT",deforestation
The Conversation Indonesia,Why Queensland is still ground zero for Australian deforestation,"Fri, 27 Jan 2023 05:45:49 GMT",deforestation
Anadolu Agency | English,Brazil's Amazon saw worst deforestation levels in 15 years in 2022 ...,"Fri, 20 Jan 2023 08:00:00 GMT",deforestation
Eco-Business,Palm oil buyers compromise no,"Tue, 17 Jan 2023 08:00:00 GMT",deforestation
Mighty Earth,Sweet Nothings: Deforestation Remains High across Ghana & Côte ...,"Fri, 13 Jan 2023 08:00:00 GMT",deforestation
SGGP News,Lam Dong Province discovers 19 illegal deforestation cases in ...,"Fri, 03 Feb 2023 01:51:02 GMT",deforestation
UNEP,Faith groups help to save disappearing forests,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
Verra,"Technical Review of West et al. 2020 and 2023, Guizar","Tue, 31 Jan 2023 05:00:00 GMT",deforestation
The Brazilian Report,How Brazil can halve Amazon deforestation in the short term,"Thu, 02 Feb 2023 16:58:21 GMT",deforestation
Food Ingredients First,Deforestation debate: Indonesia and Malaysia clash with ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
The Weather Channel,"Farming More Seaweed Could Help Fight Food Crisis, Deforestation ...","Fri, 27 Jan 2023 08:13:08 GMT",deforestation
Chatham House,Heriberto Araujo: 'Small farmers can help save the Amazon',"Fri, 03 Feb 2023 12:00:00 GMT",deforestation
Plant Based News,1 Million Trees By 2035,"Thu, 02 Feb 2023 17:06:22 GMT",deforestation
ClientEarth,EUTR Newsletter,"Fri, 03 Feb 2023 10:56:50 GMT",deforestation
Myjoyonline,Communities to be rewarded for planting trees to reduce carbon ...,"Fri, 03 Feb 2023 13:10:42 GMT",deforestation
WINA AM 1070,Brazil authorities probe Amazon ties to capital attacks | NewsRadio ...,"Wed, 01 Feb 2023 19:36:31 GMT",deforestation
Centre Daily Times,‘Flagship species’ was devastated by deforestation. Now PA experts may bring it back,"Fri, 27 Jan 2023 21:38:32 GMT",deforestation
The Guardian,"Revealed: more than 90% of rainforest carbon offsets by biggest certifier are worthless, analysis shows","Wed, 18 Jan 2023 08:00:00 GMT",deforestation
ABC News,"Germany pledges $222 million for Brazil environment, Amazon","Mon, 30 Jan 2023 16:40:36 GMT",deforestation
CosmeticsDesign-Europe.com,'Deforestation,"Wed, 25 Jan 2023 12:30:34 GMT",deforestation
asianews.network,EU's green policy a priority for Asean,"Mon, 30 Jan 2023 03:59:36 GMT",deforestation
POLITICO Europe,EU,"Thu, 02 Feb 2023 05:00:00 GMT",deforestation
thethirdpole.net,Post,"Thu, 02 Feb 2023 03:30:00 GMT",deforestation
The Hill,Lula and Biden face a historic opportunity to protect the Amazon,"Wed, 01 Feb 2023 21:00:00 GMT",deforestation
Nature.com,The post,"Fri, 03 Feb 2023 10:50:12 GMT",deforestation
The Star Online,Deforestation is no longer an issue,"Sat, 14 Jan 2023 08:00:00 GMT",deforestation
ConfectioneryNews.com,"Over 55% of cocoa exports from Côte d'Ivoire 'untraceable', new ...","Thu, 02 Feb 2023 14:36:38 GMT",deforestation
Reuters,Brazil says plans green bond sale this year,"Thu, 26 Jan 2023 08:00:00 GMT",deforestation
Guitar World,Paul McCartney shares previously unreleased Jeff Beck collaboration,"Tue, 31 Jan 2023 11:00:25 GMT",deforestation
pnas.org,A pantropical assessment of deforestation caused by industrial ...,"Mon, 12 Sep 2022 07:00:00 GMT",deforestation
Science,Disentangling the numbers behind agriculture,"Fri, 09 Sep 2022 07:00:00 GMT",deforestation
Mongabay.com,Amazon's tallest tree at risk as deforestation nears,"Wed, 28 Dec 2022 08:00:00 GMT",deforestation
Environment America,The EU just took a major step to prevent deforestation around the ...,"Thu, 08 Dec 2022 08:00:00 GMT",deforestation
Nature.com,Deforestation slowed last year — but not enough to meet climate goals,"Mon, 24 Oct 2022 07:00:00 GMT",deforestation
CarbonCredits.com,U.S. to Sanction Brazil's Amazon Deforestation Criminals,"Fri, 25 Nov 2022 08:00:00 GMT",deforestation
CNBC,Deforestation in Brazilian Amazon hits tragic record in 2022,"Wed, 13 Jul 2022 07:00:00 GMT",deforestation
Economist Impact,Progress on COP26 pledges: deforestation,"Sun, 09 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,Deforestation is pushing Amazon to 'point of no return': WWF report,"Wed, 09 Nov 2022 08:00:00 GMT",deforestation
nasa.gov,Deforestation Follows a Road Through Ucayali,"Mon, 24 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,"To be effective, zero","Wed, 30 Nov 2022 08:00:00 GMT",deforestation
The Nature Conservancy,Landmark EU Legislation Will Make European Consumption ...,"Tue, 06 Dec 2022 08:00:00 GMT",deforestation
Reuters,Exclusive: Deforestation of Brazilian savanna surged some 25% in a ...,"Tue, 13 Dec 2022 08:00:00 GMT",deforestation
GreenBiz,COP27: This past year in deforestation,"Tue, 15 Nov 2022 08:00:00 GMT",deforestation
Mongabay.com,Zero,"Tue, 27 Dec 2022 08:00:00 GMT",deforestation
Ropes & Gray LLP,An Update on the EU Deforestation Regulation – The Parliament's ...,"Tue, 15 Nov 2022 08:00:00 GMT",deforestation
Greenpeace International,How deforestation is pushing the Amazon to a climate tipping point,"Fri, 26 Aug 2022 07:00:00 GMT",deforestation
CNN,"Deforestation is accelerating in Brazil as Bolsonaro's first term ends, experts say","Tue, 20 Sep 2022 07:00:00 GMT",deforestation
PBS NewsHour,Brazil’s Lula pledges ‘big fight’ against deforestation at COP27,"Wed, 16 Nov 2022 08:00:00 GMT",deforestation
Reuters,Analysis: The next Amazon? Congo Basin faces rising deforestation ...,"Fri, 11 Nov 2022 08:00:00 GMT",deforestation
Reuters,Deforestation of Brazilian Amazon retreats from 15,"Wed, 30 Nov 2022 08:00:00 GMT",deforestation
The New York Times,"Deforestation Remains High, Despite COP 26 Pledges","Thu, 28 Apr 2022 07:00:00 GMT",deforestation
LatestLY,"It's World Neglected Tropical Diseases Day! Reducing Deforestation, Unplanned Housing, ...","Mon, 30 Jan 2023 15:15:57 GMT",deforestation
Conservation International,News spotlight: Record deforestation could forever transform the ...,"Mon, 18 Jul 2022 07:00:00 GMT",deforestation
Mongabay.com,New app tells donors what communities need to stop deforestation ...,"Mon, 02 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,"In final days before Bolsonaro's defeat, deforestation boomed in Brazil","Fri, 11 Nov 2022 08:00:00 GMT",deforestation
Reuters,Norway says fund to reduce Amazon deforestation in Brazil back in ...,"Tue, 03 Jan 2023 08:00:00 GMT",deforestation
PBS NewsHour,Brazil’s Lula’s promises to end deforestation face challenges from traditional rubber tappers,"Fri, 23 Dec 2022 08:00:00 GMT",deforestation
Reuters,"World's top finance firms continue to fuel deforestation, report warns","Mon, 17 Oct 2022 07:00:00 GMT",deforestation
International Monetary Fund,Ugandan Climate Activists Fight Deforestation by Planting,"Thu, 10 Nov 2022 08:00:00 GMT",deforestation
NPR,Brazil's election could determine the fate of the Amazon after surging ...,"Sat, 01 Oct 2022 07:00:00 GMT",deforestation
Mongabay.com,Deforestation accelerated in Brazil while climate talks were ...,"Fri, 09 Dec 2022 08:00:00 GMT",deforestation
Mongabay.com,"Ahead of election, deforestation increased in Brazil","Fri, 07 Oct 2022 07:00:00 GMT",deforestation
Nature.com,Deforestation intensifies daily temperature variability in the northern ...,"Mon, 10 Oct 2022 07:00:00 GMT",deforestation
GreenBiz,A deforestation roadmap that leaves a lot to be desired,"Thu, 10 Nov 2022 08:00:00 GMT",deforestation
EcoWatch,Deforestation 101: Everything You Need to Know,"Wed, 12 Oct 2022 07:00:00 GMT",deforestation
Nature.com,Land tenure drives Brazil’s deforestation rates across socio ...,"Sat, 01 Oct 2022 07:00:00 GMT",deforestation
The Manila Times,The value of insects: Why we must act now to protect them,"Thu, 02 Feb 2023 15:58:08 GMT",deforestation
Mongabay.com,The Amazon will reach tipping point if current trend of deforestation ...,"Mon, 03 Oct 2022 07:00:00 GMT",deforestation
Carbon Brief,Cropped 24 November 2022: Deforestation pledges; Food systems ...,"Thu, 24 Nov 2022 08:00:00 GMT",deforestation
The Hill,Society isn’t changing fast enough to stop climate change: study,"Wed, 01 Feb 2023 16:44:00 GMT",climate_policy
Foreign Policy,Norway Is Planning to Profit From Climate Change,"Tue, 31 Jan 2023 16:57:21 GMT",climate_policy
The Economist,Habitat loss and climate change increase the risk of new diseases,"Tue, 31 Jan 2023 18:03:29 GMT",climate_policy
Scientific American,How Water Finally Became a Climate Change Priority,"Tue, 31 Jan 2023 16:00:14 GMT",climate_policy
The Conversation,Climate change is transforming Australia's cultural life – so why isn't it mentioned in the new national cultural policy?,"Wed, 01 Feb 2023 02:55:00 GMT",climate_policy
CBS News,"Coastal residents on climate change: ""The ocean's coming for you""","Sun, 08 Jan 2023 08:00:00 GMT",climate_policy
BBC,How climate change threatens to close ski resorts,"Wed, 25 Jan 2023 08:00:00 GMT",climate_policy
CNBC,Powell reiterates Fed is not going to become a 'climate policymaker',"Tue, 10 Jan 2023 08:00:00 GMT",climate_policy
New Scientist,Earth's 'geological thermostat' is too slow to prevent climate change,"Thu, 26 Jan 2023 18:56:15 GMT",climate_policy
The New York Times,Opinion | I’m a Scientist Who Spoke Up About Climate Change. My Employer Fired Me.,"Tue, 10 Jan 2023 08:00:00 GMT",climate_policy
Forbes,Here’s Why Climate Change Gets The Spotlight But Biodiversity Doesn’t,"Wed, 01 Feb 2023 06:52:19 GMT",climate_policy
Brookings Institution,Climate Change: Adapting to a new normal,"Sat, 28 Jan 2023 01:43:57 GMT",climate_policy
Center For American Progress,How the Office of Climate Change and Health Equity Can Respond ...,"Mon, 30 Jan 2023 14:06:29 GMT",climate_policy
The New York Times,"Climate Change May Bring New Era of Trade Wars, as E.U. and U.S. Spar","Wed, 25 Jan 2023 08:00:00 GMT",climate_policy
Impakter,How the European Central Bank’s New Climate Policy Could ...,"Fri, 03 Feb 2023 16:02:41 GMT",climate_policy
UNM School of Law News,Largest greenhouse gas emitters overlooked in state climate policy ...,"Fri, 03 Feb 2023 17:04:01 GMT",climate_policy
Phys.org,"New Mexico's largest emitters overlooked in state climate policy, says report","Wed, 01 Feb 2023 20:28:03 GMT",climate_policy
Harvard Crimson,Harvard Medical School Will Integrate Climate Change Into M.D. ...,"Fri, 03 Feb 2023 08:00:00 GMT",climate_policy
E-International Relations,Climate Change: Scientific Evidence and Projected Warming,"Thu, 02 Feb 2023 20:14:56 GMT",climate_policy
JD Supra,United Kingdom Competition Authority Announces Support for ...,"Fri, 03 Feb 2023 19:06:35 GMT",climate_policy
Science Daily,Climate change may cut US forest inventory by a fifth this century,"Thu, 02 Feb 2023 00:43:56 GMT",climate_policy
Clyde & Co,NSW EPA releases its Climate Change Policy and Climate Change ...,"Fri, 03 Feb 2023 00:17:47 GMT",climate_policy
Euronews,Are European cities equipped to face the consequences of climate ...,"Fri, 03 Feb 2023 19:10:59 GMT",climate_policy
Nature.com,Research on public support for climate policy instruments must ...,"Thu, 26 Jan 2023 16:05:02 GMT",climate_policy
