,Description,Label
73,mercedesbenz a hrefhttpswwwreuterscomcompaniesmbgnd targetblankmbgndea is pois to invest billion of euro to build fastcharg point in north america europ and china by the luxuri carmak said on thursday,renewable energy
74,bulgaria lawmak on thursday back a resolut aim at avoid an earli phaseout of coalfir power plant as more than miner and util worker demonstr in front of the parliament in support of the coal industri,renewable energy
75,climat activist protest in davo on sunday against the role of big oil firm at thi week world econom forum wef say they were hijack the climat debat,renewable energy
76,nonprofit group global wit urg us regul to investig oil giant and potenti impos fine over appar mislabelingshel ha misleadingli overst how much it is spend on renew energi and should be investig and potenti fine,renewable energy
77,switzerland rightw swiss peopl parti svp on thursday call a referendum aim at block a draft law to cut greenhous ga emiss,renewable energy
78,us energi secretari jennif granholm warn republican in a letter seen by reuter on wednesday that limit presid joe biden author to tap the nation oil reserv would undermin nation secur caus crude shortag and rais gasolin pric,renewable energy
79,talk on rescu deal for batteri startup led by dealab which ha been involv in fossil fuel transactionsth batteri startup britishvolt is in talk with an indonesialink oil and ga investor for a rescu deal that would almost wipe out the valu o,renewable energy
80,predict predic on invest that keep pace with joe biden green subsidi spree in useurop could end it relianc on china for electr car batteri by but onli if it keep pace with joe biden green subsidi spree exp,renewable energy
81,us oil refin phillip a hrefhttpswwwreuterscomcompaniespsxn targetblankpsxna expect suppli of gasolin and diesel to be tight thi summer a top execut said on thursday dure a present at the goldman sach global ener,renewable energy
82,the american petroleum institut and two oil compani a targetblankwanta the suprem court to review a court order ban frack of,renewable energy
83,asset manag amundi a hrefhttpswwwreuterscomcompaniesamunpa targetblankamunpaa and reichmuth will coinvest up to million euro in a new vehicl by spain alantra which aim to rais a total of billion euro to invest in sol,renewable energy
84,swiss privat equiti firm partner group a hrefhttpswwwreuterscomcompaniespghn targetblankpghnsa said on thursday it expect to rais billion to billion thi year assum market stabilis enough to normalis client conversi,renewable energy
85,equinor a hrefhttpswwwreuterscomcompanieseqnrol targetblankeqnrola and bp a hrefhttpswwwreuterscomcompaniesbpl targetblankbpla have submit a joint bid to build a second stage of their beacon wind project to sup,renewable energy
86,pjm new interconnect reform approv by the feder energi regulatori commiss ferc in novemb are set to reduc the delay that are hamper wind and solar develop,renewable energy
87,germani green parti can weather disapprov from it environmentalist base over it role in approv the demolit of a villag to expand a coal mine if it use that concess to acceler other climat polici activist and analyst say,renewable energy
88,germani on friday said it ha drawn up new develop plan for offshor wind turbin site to reach a target for gigawatt gw of instal wind power capac by,renewable energy
89,oil and ga group say countri are pursu energi secur by back domest renew suppliesglob carbon emiss are expect to fall quicker than previous expect as a result of the war in ukrain and joe biden effort to encourag green inv,renewable energy
90,india adani enterpris limit ael a hrefhttpswwwreuterscomcompaniesadeln targetblankadelnsa said on tuesday that it ha sign an agreement with ashok leyland a hrefhttpswwwreuterscomcompaniesasokn targetblanka,renewable energy
91,britain crown estat will leas site for six offshor wind project capabl of gener enough green electr to power more than seven million home by under agreement announc on thursday,renewable energy
92,franc and the unit arab emir are work to strengthen their econom relationship with concret outcom expect in the near futur french financ minist bruno le mair said on monday dure a visit to the gulf arab state,renewable energy
93,exxon mobil a hrefhttpswwwreuterscomcompaniesxomn targetblankxomna and chevron a hrefhttpswwwreuterscomcompaniescvxn targetblankcvxna are roll in cash so are shell a hrefhttpswwwreuterscomcompaniessh,renewable energy
94,the european union aim to finish negoti by juli on law to deliv it climat chang target although a contenti overhaul of fossil fuel tax will like take longer sweden ambassador to the bloc said on monday,renewable energy
95,work with chargepoint it will instal more than charger at site by,renewable energy
96,the termin under construct at new york john f kennedi intern airport will be partli power by a microgrid batteri and fuel cell,renewable energy
97,global aluminium product rose by a margin last year a rate of growth that wa down from in and the slowest sinc accord to the intern aluminium institut iai,renewable energy
98,iron ore magnat andrew forrest call on thursday for an overhaul of a billionplu project to send solar power from australia to singapor which collaps after he and tech billionair mike cannonbrook split over fund plan,renewable energy
99,the unit arab emir said on thursday that sultan aljab the head of state oil giant adnoc would act as presid of the climat confer it is host thi year,renewable energy
100,brazil environment enforc agent set out in januari on their first mission thi year to combat illeg deforest with renew energi after the elect of a presid who ha promis to stop surg amazon rainforest destruct,deforestation
101,with just of the piglik anim still roam the gran chaco region a commun conserv effort in argentina is fight for it futureth chacoan peccari is so elus that scientist believ it wa extinct until it discoveri in today,deforestation
102,avoid deforest should not be use as a basi for creat carbon credit say david humphrey while paul steel and anna ducro introduc biocredit and dirk forrist defend current methodologiesyour articl accur identifi the problem of pha,deforestation
103,the brazilian govern believ that it is possibl to increas the area plant with grain by each harvest for sever year without deforest said the minist of agricultur carlo favaro on tuesday,deforestation
104,brazilian presid luiz inacio lula da silva said on wednesday he had offici launch a bid for the northeastern citi of belem to host the intern climat summit in fulfil a promis he made last year,deforestation
105,malaysia on thursday call on countri produc palm oil to strengthen cooper follow new european union eu legisl aim at reduc the use of palm oilbas fuel,deforestation
106,studi suggest resili of up to squar kilomet of the forest ha been weaken human activ and drought may have degrad more than a third of the amazon rainforest doubl the previou estim accord to a studi that heighten concern that,deforestation
107,investig into verra carbon standard find most are phantom credit and may worsen global heatingullinowher els to go alto mayo peru at centr of conserv rowliligreenwash or a net zero necess scientist on carbon offset,deforestation
108,brazil mine lobbi group ask the countri foreign ministri to work with other govern to improv tactic use to combat the illeg gold trade it said on friday,deforestation
109,case brought under bern convent on natur may set preced for destruct of biodivers in warazerbaijan ha launch a landmark legal challeng against armenia for allegedli destroy it environ and biodivers dure nearli three decad of oc,deforestation
110,thi reflect on key moment reveal as a year of environment high and low mani of which will continu to reson in the year aheada we enter wwf reflect on key moment from the last month from celebr the year of the tiger and r,deforestation
111,clientearth help shape new law and enforc old one to protect the planet and it most vulner inhabit,deforestation
112,zambia receiv a debtfornatur swap propos as part of it billion restructur discuss a move that while complex to secur and not part of current talk could set an ecofriendli preced for other debt crise if eventu includ,deforestation
113,carbon credit and offset do not have a great record but the fund they rais are a vital part in fight against deforestationullirev over of rainforest offset by biggest provid worthlesslilinowher els to go alto mayo peru at ce,deforestation
114,journalist and environment defend are at greatest risk in latin america all those who put them in danger must be held accountableth murder of the british journalist dom phillip and the brazilian indigen expert bruno pereira were not onli a shocki,deforestation
115,a cashstrap finnish zoo said on friday it wa prepar to return two giant panda on loan from china as it could no longer afford their upkeep,deforestation
116,brazil deleg arriv at the world econom forum wef with a commit to defend democraci and the sustain of both it public account and the environ financ minist fernando haddad said on monday,deforestation
117,environment social and govern esg issu were central to mani of the biggest stori of inde esg investor frequent a ta,deforestation
118,the unrest came after presid lula unveil ambiti environment plan that threaten interest group who reli on exploit the amazonth manufactur mayhem that tore through the centr of power in brasilia on sunday should be seen at least in part a,deforestation
119,the guardian visit the peruvian amazon as part of an continu investig into forestbas carbon offsettingullirev over of rainforest offset by biggest provid worthlessliligreenwash or a net zero necess scientist on carb,deforestation
120,british multin to spend huge sum on scheme that do not bring genuin carbon reduct analysi showsullimor than of rainforest carbon offset by biggest provid are worthlessliligreenwash or a net zero necess scientist on c,deforestation
121,a guardian investig ha found that more than of the carbon offset verifi by the compani verra did not reduc deforest patrick greenfield reportscompani across the world reli on carbon offset credit as a way to display their green cred,deforestation
122,the european union is aim to enact up to five trade deal in record time to ensur it futur as a clean tech leader by secur suppli of key raw materi increas market for green export and reduc it relianc on china,deforestation
123,ivori coast cocoa regul on thursday start distribut electron card to cocoa farmer to help track bean from plantat to their export port and ensur the grower are paid a guarante price for their produc,deforestation
124,singapor sovereign wealth fund temasek ha led the latest fund round for climat tech firm live carbon which aim to increas the carbonabsorb abil of tree the startup chief execut told reuter,deforestation
125,brazil ministri of health ha declar a medic emerg in the yanomami territori the countri largest indigen reserv border venezuela follow report of children die of malnutrit and other diseas caus by illeg gold mine,deforestation
126,export of miner wood and energi drive a surprisingli high fraction of deforest,deforestation
127,chang in temperatur and precipit due to rapid deforest in the amazon rainforest could have effect as far away as the tibetan plateau and antarctica,deforestation
128,babi to be name after a rock or pop star as primatologist say onli about left across africaconservationist are celebr the birth of the world rarest chimpanze at a uk zoochest zoo ha welcom the arriv of the male critic endanger,deforestation
129,the cultiv of palm oila common ingredi in food and beauti productscaus mass deforest around of malaysia forest have been lost for instanc in order to make way for palm plantat while find a replac for the oil ha proven,deforestation
130,the last member of the speci in pennsylvania were like snuf out in the offici said,deforestation
131,sri lankan mangrov are the home for fish cat as the mangrov have been devast by human activ poacher environment catastroph and climat chang there is one creatur in these swamp who is defi the odd and our expect at the,deforestation
132,german chancellor olaf scholz head to argentina on saturday for the first leg of hi inaugur tour of south america as hi govern seek to reduc germani econom depend on china and strengthen relat with democraci worldwid,deforestation
133,jair bolsonaro support fail in a trumpian plot to overthrow democraci presid lula must make sure they never succeedth storm of the three branch of brazilian govern is the most signific threat to the countri democraci sinc the end of,deforestation
134,the guitarback messag oppos deforest ask the question whi are we cut down the rainforest,deforestation
135,new research look at the method of coffe prepar that leav the smallest carbon footprint,deforestation
136,the billionair ha purchas acr and mani want to know whi,deforestation
137,while the honeymoon mood creat by the new govern will run up against polit realiti the euphoria is not blindaweinspir storm roll in almost everi night dure the amazon raini season replenish the xingu river and illumin the night sky,deforestation
138,it is possibl to pay farmer a premium while sell singleorigin chocol at a cheaper price but it mean compani have to transform the way it madei it possibl to make an ethic chocol bar that also afford tim mccollum the founder of t,deforestation
139,acrid smoke swirl amid the buzz of dozen of chainsaw under the majest nyiragongo volcano produc scene of devast in the heart of the lush natur treasur in eastern dr congo,deforestation
140,the new presid ha alreadi taken step to protect the amazon but research call for more action,deforestation
141,more than hectar acr of forest have been raze to stump in virunga nation park in less than two month,deforestation
142,satellit monitor detect squar km of forest cover destroy in brazil share of the amazon,deforestation
143,an intern team of climat scientist ha found evid suggest that deforest in the amazon rainforest is influenc weather in tibet more than kilomet away in their paper publish in the journal natur climat chang the researc,deforestation
144,shake a tradit rattl brazil incom head of indigen affair recent walk through everi corner of the agenc headquarterseven it coffe rooma she invok help from ancestor dure a ritual cleans,deforestation
145,a pair of studi rais concern that the amazon rainforest may be approach a point of no return,deforestation
146,it beggar belief that the un thought it a good idea to allow an authoritarian petrost to host an alreadi compromis mcguir is professor emeritu of geophys and climat hazard at ucl liulther is a battl rage over the hea,deforestation
147,deforest in the brazilian amazon rose percent in decemb from the previou year accord to govern figur releas friday a final bleak report for farright expresid jair bolsonaro in hi last month in offic,deforestation
148,brazil thi week began the first oper against amazon deforest sinc veteran leftist luiz inacio lula da silva took offic the ibama environment agenc said friday,deforestation
149,a new studi publish today in pna nexu reveal for the first time that indigen peopl with offici recogn right to their territori in brazil embattl atlant forest reduc deforest and improv forest cover outperform territo,deforestation
150,more than busi leader and politician are make their way to the swiss alp for the world econom forum annual meet at davo,deforestation
151,most european consum shop basket tend to includ item link to deforest in tropic region involv agricultur commod such as beef soybean palm oil cocoa rubber coffe timber and paper these socal forestrisk commoditi,deforestation
152,despit a pledg by major palm oil firm to maintain environment friendli oper a recent report by environment group earthqual reveal that more than hectar of forest and peat land roughli three time the size of london have,deforestation
153,far upriv in the rainforest the lure of rare pink river dolphin is creat job and promot conserv and reconcili after a warth dolphin are more play than us say diego cifuent cofound of villa lilia agroecoturistico a,deforestation
154,alleg crimin conspiraci water war quakesaf energi and deforest are among the biggest climat topic in the come year,deforestation
155,the amazon rainforest ha been degrad by a much greater extent than scientist previous believ with more than a third of remain forest affect by human accord to a new studi publish on januari in the journal scienc,deforestation
156,the world thi week,deforestation
157,brazil environ minist marina silva know she ha her work cut out to protect the amazon the world largest rainforest that is share among nine countri,deforestation
158,rapid deforest in eastern paraguay is chang the region subtrop ecosystem creat a fragment landscap of forest remnant along the edg between the disappear forest and new soy farm speci from both habitat collid in novel intera,deforestation
159,brazil forest code is a worldbeat environment regul make sure it actual respect is the hard part but plug that enforc gap is critic for the futur of the planet,deforestation
160,german minist say brazil new govern offer great chanc to protect rainforest after widespread destruct,deforestation
161,ichthyologist lucia rapp pydaniel preserv and catalogu the fish of amazonian water as their number fall becaus of industri develop,deforestation
162,dutch farm are feel the squeez from eu rule and need to make sweep chang to the farm system could a huge produc like the us follow suitingrid de sain is one of thousand of dairi farmer in the netherland who say she sometim lie awak at,deforestation
163,accord to a new studi even with strict regul protect area are lose forest to weaken environment polici,deforestation
164,campaign hail eu move and congressman say it give fresh impetu to similar us plansa groundbreak eu deal to ban the import of good link to deforest ha set a global benchmark and will hasten the passag of a similar law in the us american la,deforestation
165,ever want to build a custom satellit and launch it into space well now you can with the eo satellit,deforestation
166,in alon we lost million hectar of forest which releas gigaton of carbon dioxid into the atmospher,deforestation
167,a new report say the key to save brazil atlant forest is recogn indigen territori,deforestation
168,new estim are larger than what scientist previous believ,deforestation
169,when easi rider wa releas into theater in the summer of popular cultur had alreadi shift significantli to reflect the spirit of rebellion swell up among teenag across the countri signifi a real chang it wa time for the box offic a,deforestation
170,while all eye are on the grow box offic for jame cameron decadeplu in the make sequel avatar the way of water the fame director made a surpris appear at the televis critic associ winter press tour to announc two more proje,deforestation
171,deforest and environment degrad threaten to push the amazon beyond the point of no return busi should prioritis natureposit netzero oper,deforestation
172,after a hand of classifi document were found at presid biden former privat offic donald trump hi alli and even some of the mainstream media are stumbl over themselv to equat it with trump hoard of hundr of classifi document,deforestation
173,repres kati porter announc tuesday that she is run for california senat in the progress star will run to replac longserv senat diann feinstein in her announc video the repres highlight threat to democraci a,deforestation
174,serial fabulist georg santo maintain tuesday that he ha done noth uneth even after be hit with two ethic complaint in as mani day on tuesday two of hi fellow new york repres file an ethic complaint against him ritchi torr,deforestation
175,on monday repres marjori taylor green post a pseudohyp video celebr herself and the gop hous major after the caucu made histori in host the longest hous speaker elect sinc befor the civil war the video post with the capt,deforestation
176,for environment protect in brazil a long rebuild process lie ahead,deforestation
177,what is the sound of a tortilla chip not crunch european may soon find out the hard way malaysia deputi prime minist fadillah yusof,deforestation
178,indigen commun in the amazon have come under sieg as busi interest violent expand their oper,deforestation
179,cheshir chees berem and norfolk beef appl are among the uk food at risk of vanish for ever and it not just our palat that will suffer but the planetwhat doe it mean when a food or drink becom endang when there are so few peopl,deforestation
180,western chimpanze are on the brink of extinct categoris by the iucn as critic endang photojournalist roberto garcia roa ha been work with the chimpanze conserv centr in guinea one of the few intern institut tri to pr,deforestation
181,the worsen climat crisi could soon obstruct the eye of our groundbas telescop we will liter have less to look at,deforestation
182,an independ review of australia controversi carbon credit system releas today conclud the scheme is essenti sound but key question remain unaddresseda fact that will continu to undermin confid in australia central climat polici,deforestation
183,global climat chang doesnt onli caus the melt of polar ice cap rise sea level and extrem weather event it also ha a direct effect on mani tropic habitat and the anim and plant that inhabit them as fossil fuel emiss continu to driv,deforestation
184,brazil new presid is work to make good on hi campaign promis and stop the cut of tree in the amazon rain forest,deforestation
185,the latest in scienc and polici,deforestation
187,minist set out plan for restor natur amid grow critic over pollut and wildlif declin,deforestation
188,indigen peopl like me have too often reli on outsid to tell our stori to the world my commun is final tell our own stori,deforestation
189,rubber tapper raimundo mend de barro prepar to leav hi home surround by rainforest for an errand in the brazilian amazon citi of xapuri he slide hi long scar feet into a pair of sneaker made by veja a french brand,deforestation
190,environmentalist indigen peopl and voter support their caus were import to luiz inacio lula da silva elect as brazil new presid,deforestation
191,rio de janeiro ap shake a tradit rattl brazil incom head of indigen affair recent walk through everi corner of the agenc headquart even it coffe room as she invok help from ancestor dure a ritual cleans,deforestation
192,im sorri corn ethanol just didnt work out ok,deforestation
193,to kick off the new year let talk about toilet paper someth that can actual make a surpris impact when our kid were littl our famili discov who give a crap sustain toilet paper and cheeki brand and we never look back read m,deforestation
194,environmentalist indigen peopl and voter sympathet to their caus were import to luiz inacio da silva elect to a third term as brazil presid,deforestation
195,territori in brazil fragment atlant forest where indigen peopl enjoy secur land right have seen measur less deforest than similar,deforestation
196,shake a tradit rattl brazil incom head of indigen affair recent walk through everi corner of the agenc headquart even it,deforestation
197,new research link bat habitat destruct with the spillov of their virus to human,deforestation
198,ullifanl review in argu for independ regulatorlililabour respond to leak white paper on owner criterialiula group of local mp have urg liverpool and everton to back the recommend of the fanl review and support t,sustainability
199,from grow herb to drive uber some idea for sustainabilityrel job that will earn you some extra cash,sustainability
200,as boardroom boss and billionair mingl in the snowi street of davo corpor sustain is a key topic of discuss yet which compani is the world most sustain,sustainability
201,precis locat intellig and analysi will be key to build a truli sustain compani in an era of climat chang,sustainability
202,thi season copenhagen fashion week requir all design to adher to a set of sustain standard the result strippedback set and plenti of innov idea continu read,sustainability
203,sustain procur and sustain in busi are more than just fanci buzzword statist support thi argument more busi engag in sustain procur than two year ago of consum choos product and servic that they be,sustainability
204,from annual sustain report to go zerowast smaller beauti brand see the valu in sustain packag,sustainability
205,brazil deleg arriv at the world econom forum wef with a commit to defend democraci and the sustain of both it public account and the environ financ minist fernando haddad said on monday,sustainability
206,the intern monetari fund on monday said it execut board approv a support program for bangladesh worth billion at current exchang rate make the south asian countri the first to access it new resili and sustain facil rsf,sustainability
207,italian energi group eni a hrefhttpswwwreuterscomcompaniesenimi targetblankenimia said on wednesday it will offer it first sustainabilitylink bond for retail investor in itali from jan,sustainability
208,leader at the world econom forum said they want to address the climat crisi sustain and the energi transit but need to determin how,sustainability
209,britain plan to regul the way asset manag label sustain invest fund would exclud mani exist fund and clash with european union requir the invest associ ia said on thursday,sustainability
210,ullifair game sustain index paint troubl picturelilionli two championship club given a score rank goodliulfootbal club should be financi reward if they show good govern and engag properli with their fan accord,sustainability
211,xbox announc it ad new lowpow option to it consol to lower their impact on the environ,sustainability
212,preserv climat and natur resourc with open,sustainability
213,predict of the futur often come to naught in the british economist john maynard keyn famous promis wed all soon be work week in ibm forecast that the newfangl photocopi might sell at most more recent el,sustainability
