Description,Label
the investor of the big short fame took aim at the esg fund managers exposed to the nowcollapsed bank,Positive
uk chancellor has launched consultation to classify nuclear as environmentally sustainable jeremy hunt has kickstarted a fresh push into nuclear power which he hopes will provide a quarter of britains electricity by  in his budget speech the chancel,Positive
in what tim cook calls an immense challenge apple and its global partners have increased the use of renewable energy by almost  and continues to aim for carbon neutrality by  iggesunds blbergsliden wind farm features  turbines and is loca,Positive
a new way of sucking carbon from the air is up to three times more effective than current technology,Positive
the first few sentences of the abstract for this paper from the scientific journal renewable energy contain a twist in the middl,Positive
despite record profits the oil and gas industry is still headed for a longterm decline even if it sees more boomandbust cycles along the way,Positive
jeremy hunt has little to offer a country battered by austerity and venal politics on one thing politicians economists and commentators on the left and right can agree britain is broken not as in the silly smirking slogan used by david cameron in opposit,Positive
the government presentation in aberdeen this week should be a reaction to the joe bidens subsidies but from renewables to drilling its set to fall shortit was supposed to be called green day  a big presentation of the national strategy for reaching net,Positive
electricity system operator struggled to keep lights on during one of the coldest weeksnational grid paid some of the highest prices this winter for gasgenerated power on tuesday night as it scrambled to keep the lights on during one of the coldest weeks of,Positive
an anonymous reader quotes a report from electrek for the first time ever renewable power generation  thats wind solar hydro biomass and geothermal  exceeded coalfired generation in the us electric power sector in  according to the us energy,Positive
on thursday the european commission unveiled the netzero industry act a muchanticipated proposal aiming at boosting the eus green tech production amidst an increasingly intense global race the new regulation is a key part of the european green industria,Positive
researchers have hacked the earliest stages of photosynthesis the natural machine that powers the vast majority of life on earth and discovered new ways to extract energy from the process a finding that could lead to new ways of generating clean fuel and,Positive
biden may have promised no more drilling on federal lands period during his campaign but the reality has been very differentjoe biden continues to confound on the climate crisis hailed as americas first climate president biden signed sweeping landma,Positive
the burning of coal for electricity cement steel and other uses went up in  despite global promises to phase down the fuel a report wednesday found,Positive
exclusive sultan al jaber aims to use un talks to set out how private sector can limit greenhouse gas emissionsthe world needs a business mindset to tackle the climate crisis the president of the next un climate summit has saidsultan al jaber the presid,Positive
crossparty cooperation is the key to facing down the doubters and delayersullisadiq khan is the labour mayor of london lilichris skidmore is the conservative mp for kingswoodliulthere is no greater challenge facing our capital our country and,Positive
think that electricity in the us is expensive you should know that there are countries that have it worse and better who pays the most for electricity,Positive
rolling coverage of the latest economic and financial newsgood morning and welcome to our rolling coverage of business the financial markets and the world economythere are signs of green shoots in the uk economy with firms more confident about the countr,Positive
an indian company is working to develop a system that will use energy from solar wind and industrial waste to deliver moisture from the airthe post extracting water from the atmosphere using renewable energy appeared first on springwise,Positive
growing numbers of environmentalists in northern europe are embracing technology to combat the climate crisis but in britain ecomodernist ideas have had a sofar frosty receptionon  may  after hours of impassioned debate members of finlands green,Positive
summary report by worlds leading climate scientists sets out actions to stave off climate breakdownullisamoa pm urges world to save pacific people from climate crisis obliterationliulthe fourth and final instalment of the sixth assessment report a,Positive
positive framing of otherwise grim report a counterblast to those who dismiss hopes of limiting global heating to  avoiding the worst ravages of climate breakdown is still possible and there are multiple feasible and effective options for doing so th,Positive
comprehensive review of human knowledge on subject says act now or it will be too lateullianalysis humanity at the crossroadslilitimeline the ipccs reportsliulscientists have delivered a final warning on the climate crisis as rising gre,Positive
filed under governmentlegalgreen continue reading biden finally glimpses the importance of oilbiden finally glimpses the importance of oil originally appeared on autoblog on mon  mar   edt please see our terms for use of feedspermalink,Positive
insiders arent surprised as exxonmobil the last remaining proponent of green algae biofuel ends researchone by one big oil firms have touted their investments in algae biofuels as the future of lowcarbon transportation  and one by one they have all dro,Positive
laws encourage recycling plastics but verifying recycled content relies on tricky math,Positive
cutting greenhouse gas emissions rapidly and immediately will save lives livelihoods and ecosystems around the world scientists say and there are lots of ways to go about it,Positive
if interest rates stay high the future of renewable energy looks a little dimmer,Positive
governments ukef criticised for locking us all into more carbon emissions for decades to come with assistance for the sectora uk government agency has financially supported the highcarbon aviation industry with billions of pounds since the paris climate a,Positive
renewable energy and waste streams power the discovery processthe post using ai to sustainably produce chemicals appeared first on springwise,Positive
filed under earningsfinancialsgovernmentlegalgreenalternative fuelsemissionsfuel efficiencygreen cultureelectric continue reading musk puts  trillion price tag on sticking by fossil fuelsmusk puts  trillion price tag on sticking by fossil f,Positive
these energy stocks are benefiting from a global push toward renewable energy,Positive
by the time australia gets its first nuclearpowered submarines ecological collapse will already have reshaped world politicsunder the terms of the governments nuclear submarine purchase the first australianbuilt aukus class vessels come into service in t,Positive
former vicepresident says the willow development will fatally undermine the effort to confront the climate crisisal gore has warned it would be recklessly irresponsible for joe bidens administration to allow an enormous controversial oil drilling project,Positive
new guidelines for  carbon offsetting industry aim to guide buyers towards highquality creditsnew quality standards for the  carbon offsetting industry have been published to help guide buyers to highquality credits following widespread concern that,Positive
the world this week,Positive
the renewable energy juggernaut unveiled its latest investment,Positive
ive been on the road this week and by a stroke of luck i got to visit one of my favorite places in the world the whale shark exhibit at the georgia aquarium in atlanta  the tank is massive holding over  million gallons of water six fullsized whale sha,Positive
european union countries gave final approval on tuesday to a landmark law to end sales of new  cars in  after germany won an exemption for cars running on efuels,Positive
oil and gas initiatives are a nonstarter in a democratcontrolled senate leader schumer says but republicans energy priorities are a key pillar of the partys election platform,Positive
despite being the industrial giants weakest business renewable energy is critical to the companys future,Positive
the vjosa river in albania teems with more than  species while rare vultures and balkan lynx visit its banks it has seen off the threat of a surge in barriers but the shadow of development persiststhe fastmoving vjosa river in albania curves and brai,Positive
risktolerant investors may be interested in this growthoriented etf,Positive
as the planet veers ever closer to climate catastrophe more and more peopleand businessesare working to lessen their impact on the planet cars are going electric straws have gotten organic and even video game cases have gotten slimmer one industry that,Positive
ikeas versatile solarpowered lamp lets you switch on virtual sun in planetary magnificenceits high time we adopt alternative energy solutions like solar power for lighting up our homes ikea is heedful of this need and so is,Positive
climate change is a planetary emergency but it does not need to be our fate writes bronson griscom,Positive
about  of the total global energy demand comes from heating and cooling homes and businesses a new study suggests that using underground water to maintain comfortable temperatures could reduce consumption of natural gas and electricity in this sector by,Positive
whoever takes the reins in scotland statehood is surely an irresistible forceane lecherous and bluidy tyrant slain be his nobillis in the viij yeare of his reign so the old chronicles record about quite a few scottish kings succession to power has not o,Positive
a new design could greatly increase the efficiency of tidal energy generationthe post underwater kites harness energy from predictable tidal currents appeared first on springwise,Positive
filed under governmentlegalgreenplantsmanufacturinggas pricesinfrastructure continue reading us oil production will remain historically high through   new government reportus oil production will remain historically high through   n,Positive
the story begins when the architect meets the investor in a networking session because of the meditative sympathy from both with the desire to bring a workspace with renewable energy for employees from that topic the architects at aro took as the main ins,Positive
back in  apple moved its headquarters to the spaceshiplike apple park which runs on  renewable energy thanks to a massive installation of  megawatts of solar panels on to campus roof there are other clever design elements like using natural vent,Positive
demonstrations at  sites are billed as first major action by older activists its not fair to ask  to solve thisclimate activists across the us will on tuesday blockade branches of banks that finance fossil fuels cutting up their credit card,Positive
the long and tortuous effort to regulate toxic chemicals in america has now come up against an ironic obstacle antienvironmental lobbying by the manufacturers of batteries and other renewable energy technologies that rely on toxic substances the successful,Positive
limiting global warming to  degrees celsius above preindustrial levels will require severely cutting greenhouse gas emissions in half by  doing so calls for the immediate largescale adoption of renewable energy like solar and wind electrified tran,Positive
brookfield renewable should be able to keep up its winning ways,Positive
a few preview photos of the latest apple store have been shared ahead of the opening of apple gangnam on friday march  it will be apples fourth store in south koreathe new store features what apple says is a unique facade which changes in appearance ac,Positive
see what incentives prices and installers are available if youre considering solar panels in the hawkeye state,Positive
earlier this week apple shared some photos of its new retail store in south koreas gangnam district now the companys fourth store in the asian country is finally open to the public and it welcomes customers with a unique glass facade that changes appeara,Positive
are skyscrapers losing their luster as bragworthy international objects the seoul metropolitan government has announced theyre building as an international attraction and object of wonder the worlds largest hubless ferris wheelthe seoul ring will be si,Positive
new law  condemned as illegitimate giveaway to the oil and gas industry  requires state parks to be leased to interested partiesenvironmental groups have launched a lastminute bid to halt an extraordinary new law in ohio that requires government agencies,Positive
against the backdrop of a global energy crisis its a good time to discuss the real energy cost of data centers why theyve become one of the worlds fastestadvancing industries and how an argument could be made that they are a major driving force in the,Positive
the race is on to develop a batterypowered aircraft but not everyones convinced it will bring us closer to netzero flighton  december  a group of men dressed in the sober branded casual wear of the silicon valley startup gathered on the asphalt at,Positive
bbc environment correspondent matt mcgrath outlines the key takeaways from the latest ipcc report,Positive
filed under governmentlegalgreen continue reading shell rules out more ambitious goal to cut customer emissionsshell rules out more ambitious goal to cut customer emissions originally appeared on autoblog on sat  mar   edt please see our,Positive
deforestation in brazils amazon up in february  reuters,Positive
satellites show record destruction for the month of february as new government tries to undo damage wreaked under bolsonarodeforestation in brazils amazon rainforest rose in february to the highest level on record for the month highlighting the scale of the,Positive
verra will phase out the programme by  after a guardian investigation found it was flawed the worlds leading carbon credit certifier  used by disney shell gucci and other big corporations for climate claims  has said it will phase out and replace,Positive
goodbye food standards hello corporate lobbyists why are we doing this for no real economic benefit last night the government announced that britain has joined a trade deal so contentious that it united donald trump hillary clinton and bernie sanders,Positive
outrage as indigenous communities claim company is operating on illegally deforested land and lacks environmental permitsthe us ambassador to peru has sparked outrage among indigenous groups and environmental ngos by visiting a controversial palm oil company,Positive
sophia hammond an  girl scout has become an outspoken critic of the girl scouts use of palm oil in their cookies using her grandmothers recipes she started making her own cookies after she discovering the connection between palm oil and defor,Positive
how the worlds biggest chocolate manufacturersfrom nestle to mars to cadburyrank on their commitment to environmental and human rights,Positive
for propublica al shaw irena hwang and caroline chen explain the increased risk of spreading disease when there are fewer trees and physical barriers in between people the implications of such,Positive
carbon uptake from regrowth does not offset emissions from deforestation,Positive
palm oil and soy are two of the worlds largest drivers of deforestation with the former destroying almost  million acres of forests in indonesia and  of tree cover in malaysia a new method from agriculture company terviva offers a climatefriendly alt,Positive
a skin and hair product that uses a yeast oil with properties similar to palm oil aims to help reduce deforestation tied to palm oil production,Positive
the great atlantic sargassum belt is a massive bloom of brown algae that stretches from the coast of west africa to the gulf of mexico,Positive
this supposedly intangible romantic thing is in fact rooted in something concrete and quantifiable our material conditionsulliin a series of short essays writers consider what happiness means to them now after the reckoning of the past few yearsli,Positive
the man in the trilby and bomber jacket  a dead ringer for comic simon day  was an ecowarrior before it was fashionable now hes back with big muesli plans and some thoughts on greta thunbergyou will remember dave angel eco warrior as the essexbased ex,Positive
the southeast asian islandnation unveiled the construction site of its new capital,Positive
latest ipcc report highlights key measures countries must take to avoid climate catastrophethe intergovernmental panel on climate change published the synthesis report of its sixth assessment report  on monday eight years in preparation this mammoth,Positive
a wonderful friend began sending me bob ecksteins watercolor postcards of famous still existing and no longer existing brickandmortar bookstores from across the globe when i was laid up for a few months from an injury last year each postcard includes t,Positive
deforestation in brazils amazon rainforest in the first quarter of  was one of the worst on record according to official figures released on friday,Positive
a swathe of the amazon rainforest almost twice the size of luxembourg was destroyed by fire between  and  the area is in the southwest of amazonas state in brazils north region and includes parts of nine municipalities with some of the worst susta,Positive
spike underscores challenge new president luiz inacio lula da silva faces to reverse years of environmental destruction,Positive
preliminary data finds deforestation in the month of march increased  percent over the same month last year,Positive
google earth has updated its timelapse feature with new imagery from  and  so you can now watch changes to the landscape unfold across four decades,Positive
meeting is part of highprofile tour as brazils president attempts to repair countrys reputation after the bolsonaro eraone of them wants the world to know his country is battling its way back to its former glory after three years of zerocovid lockdowns an,Positive
guilt over her role in concreting the landscape led deema assaf to set up tayyun dedicated to reforesting one of the worlds most arid countrieswalking along a path in jordans birgish forest one of the very few remaining patches of woodland in one of the w,Positive
from acetate to bamboo to cupro theres an entire alphabet of fibre types on modern garment care labels heres what those names really meanit can often feel like you need a phd in material science just to understand the textiles that appear on garment care,Positive
global warming both helps and hurts blacklegged tickswhich carry the bacteria that cause lyme diseasedepending on where they live,Positive
a pioneering global study has found deforestation and forests lost or damaged due to human and environmental change such as fire and logging are fast outstripping current rates of forest regrowth,Positive
cleaner fuels for cooking could improve health and be better for the environment,Positive
ive long been a fan of edward burtynskys photographic surveys of humanitys impact on our environment so i was eager to e,Positive
burritos and burgers from chains including taco bell mcdonalds and chipotle have cultlike followings but all that beef is bad for the planet,Positive
npr ventures into a colombian emerald mine  which used to be more dangerous with potential explosions inside and gunfights outside the ceo a former us diplomat says he wanted to change that,Positive
in mid march propublica published al shaw irena hwang and caroline chens interactive article that explains how specific patterns of deforestation lead to an increasing in mixing zones where humans and wildlife are more likely to encounter one another why d,Positive
agricultural certification can act as an incentive for coffee growers and other farmers to comply with laws designed to protect the environment promoting their alignment with the current demands of society and the market although it does not necessarily con,Positive
missiondriven fashion label krost wants to make a change through fashionwith the goal of raising awareness surrounding societal issues including gun reform climate change and food insecurity the brand highlights the aforementioned causes in each of its co,Positive
tropical forests are often referred to as the lungs of the world describing the way their trees exchange gases with the atmosphere by breathing in carbon dioxide and breathing out oxygen during photosynthesis tropical forests remove about  of man,Positive
cptpp membership will result in more deforestation and endanger animal welfare say campaignersthe uks membership of a pacific trade agreement will result in more deforestation overseas endanger animal welfare and make a mockery of the governments enviro,Positive
since taking up their roles in october will mccallum and areeba hamid have set about transforming the environmental group and expanding its scope to take on new challengeson  july  radical climate activists walked up to greenpeace uks elegant  h,Positive
new research published today in communications earth  environment suggests that the amazon rainforest and its indigenous territories can absorb as much as  metric tons of dangerous pollutants released by fires every year thus preventing thousands of c,Positive
anthropogenic pressures and climate change are altering water flows worldwide better understanding new economic thinking and an international governance framework are needed to stave off catastrophe,Positive
reduced palm oil tariffs undermine uks commitment to greener supply chains,Positive
extreme weather conditions have become a topic of grave concern are floods earthquakes tornadoes and catastrophic storms the new normal just for a moment lets travel to a place where extreme weather has always been the norm lake maracaibo in northweste,Positive
although the business community has made progress toward climate goals since the  paris agreement fewer than onefifth of netzero targets set by national and subnational governments and only a third of the largest public corporations with netzero targe,Positive
climate change is a planetary emergency but it does not need to be our fate writes bronson griscom,Positive
as the world becomes increasingly aware of the impact of climate change many businesses are seeking ways to mitigate their carbon footprint and embrace more sustainable practices in the transportation industry fleet maintenance is a key area where business,Positive
the activist sought to draw attention to the ontario governments planned deforestation of the canadian provinces green spaces,Positive
amazon has   cottonelle gentleplus flushable wipes w aloe  vitamin e  total wipes for    when you clip the  off coupon on product page   when you check,Positive
tech solutions that are helping us tackle deforestation  unilever,Positive
a ukrainian startup transforms urban biowaste into paper and packagingthe post paper made from fallen leaves appeared first on springwise,Positive
a new biobased surfactant is not only more sustainable than traditional ones but also lowerpriced than other biosurfactantsthe post sustainable ingredients for everyday consumer products appeared first on springwise,Positive
ditching diesel in attempt to shrink its carbon footprintamazon is moving from diesel to hydrotreated vegetable oil hvo to fuel the backup power generators for its datacenters in europe with sites in ireland and sweden the first to make the switch the mo,Positive
environmentalists question high grade given to jbs and accuse it of deforestation in the amazon and underreporting emissionsthe award of an aminus sustainability grade to the worlds biggest meat company has raised eyebrows hackles and kicked off a debate,Positive
by al shaw irena hwang and caroline chen  in  the worst ebola outbreak in history started in a small village in southern guinea eventually tearing through west africa by the time it ended in  more than  people were dead scientists have li,Positive
growing edible mushrooms alongside trees can produce a valuable food source for millions of people while capturing carbon mitigating the impact of climate change a new study by university of stirling scientists has found,Positive
more than  of the worlds bird mammal and amphibian species live in mountains particularly in forest habitats but researchers report that these forests are disappearing at an accelerating rate globally we have lost  million hectares  of mou,Positive
workerowned restaurants the first  hotel a zerocarbon diy design movement and more the first  hotel in the us on  acres in marfa texas design firm big  startup icon and veteran hotelier liz lambert are building the firs,Positive
kilifi will soon be able to boast the worlds largest  affordable housing complex in february  the first ten houses were completed,Positive
a new tool lists the emissions of  grocery store items heres what its like to try and create a more climatefriendly grocery list,Positive
this post contains products independently chosen and loved by our editors and writers  earns a commission on qualifying purchases of the products we link to  as the temperatures begin to climb our palates undergo a bit of a metamorphosis the ful,Positive
recovering forests offset just  of carbon emissions from new logging and wildfire say scientists,Positive
the platform can be used to estimate the carbon removed by offset projects the post satellite technology estimates naturebased carbon storage  appeared first on springwise,Positive
availability of modern seed varieties in developing countries has had positive effects on households wellbeing here the authors show that without support to maintain soil fertility access to modern seed varieties increases primary forest clearance in dr,Positive
an article published in the international journal of disaster risk reduction discusses amazon rainforest wildfire governance with local community participation in the socalled trinational border region between madre de dios in peru acre state in north braz,Positive
britains biggest trade deal since brexit faces claims of fuelling deforestation as the economy opens up to imports of malaysian palm oil,Positive
deforestation in brazils amazon rainforest in the first quarter of  was one of the worst on record according to official figures released on fridayin,Positive
its dambuilding spree in pursuit of hydropower has led to the displacement of people deforestation and disasters in the himalayan region,Positive
a new study finds deforestation reduces rainfall in tropical rainforests which has grave consequences for agriculture drought and climate resilience,Positive
reducing inequality could see the world population fall to  billion people plus fish can sense each others fear and how driverless cars can learn to handle the worst drivers on the road,Positive
the consumer goods forum,Positive
more than  of the worlds bird mammal and amphibian species live in mountains particularly in forest habitats but researchers report in the journal one earth on march  that these forests are disappearing at an accelerating rate globally we have los,Positive
river flows in new zealand have changed dramatically over the past  to  years as the climate has varied a new study has found,Positive
it didnt get much attention when us president joe biden launched a biomanufacturing initiative last september,Positive
people close to former president said to be unsure whether he is serious about wanting to do a perp walk plus eight things the world must do to avoid the worst of climate changegood morningdonald trump has told advisers that he wants to be handcuffed when,Positive
analysis of satellitebased data on recovering degraded and secondary forests in three tropical moist forest regions quantifies the amount of aboveground carbon accumulated which counterbalanced one quarter of carbon emissions from oldgrowth forest loss bet,Positive
some countries have used up far more of the worldrsquos carbon budgetmdashthe amount we can emit and still avoid more extreme climate disruptionmdashthan others,Positive
over the past  years coronaviruses in wild bat populations have led to three major disease outbreaks in humans sars in  mers in  and  the latter triggered an ongoing global pandemic in turn this has focused greater attention on zoonoti,Positive
the eu in december agreed on a deforestation law that requires companies to produce a due diligence statement showing when and where their commodities were produced and provide quotverifiablequot information that they were not grown on land deforested aft,Positive
architects are increasingly using mass timber in the hopes of creating netzero buildings but carbon assessments are missing key sources of potential emissions researchers tell dezeen in this timber revolution feature the standard method for determining a b,Positive
transparency is the key to bolstering carbon credit markets giving companies greater insight into what rainforests are saved and how carbon credits get awarded,Positive
the regulation which could severely limit the countrys palm oil exports to european nations has been strongly opposed by kuala lumpur,Positive
the united states should join europe in halting the import of beef and other goods linked to the deforestation of the critical rainforest region,Positive
uk preparing to lift tariffs on palm oil from malaysia as price for joinging  cptpp trade agreement,Positive
seiko epson corporation tse  epson today launched a threeyear international partnership with global conservation organisation wwf focusing on,Positive
carbon emissions from wildfires in boreal forests the earths largest land biome and a significant carbon sink spiked higher in  than in any of the last  years according to new research  boreal forests which cover northern latitudes in parts of nor,Positive
kota kinabalu an environment report by a nongovernmental organisation  rimbawatch  depicting the state of forests in sabah as being unsustainable and on the verge of going under the  targeted forest cover is not accurate says the state chief forest co,Positive
biodiversity is essential to all life on earth  discover five solutions at changenow that are preserving the planets ecosystemsthe post biodiversityboosting solutions making a change in  appeared first on springwise,Positive
batten down the hatches stay out of the water and beware because its coming it isnt a shark or a sea monster no this marine menace isseaweed more specifically its a massive blob of the stuff twice the width of the continental united states and th,Positive
the worlds tropical rainforests are still getting hit hard by deforestation now scientists are finding thats having an expected impact causing droughts,Positive
readers often express interest in forests capacity to absorb and store carbon and in climatefriendly management practices in this first this conten,Positive
tesla has promised to plant double the number of trees that it will remove as part of the deforestation effort to build gigafactory mexico morethe post tesla promises to double number of trees at gigafactory mexico after deforestation appeared first on el,Positive
a new study has highlighted how and when changes to the environment result in animalborne disease thresholds being breeched allowing for a better understanding and increased capacity to predict the risk of transmissions,Positive
brasilia deforestation in brazils amazon rainforest in the first quarter of  was one of the worst on record according to official figures released on friday apr  those figures show the scale of the task facing leftist president luiz inacio lula da,Positive
characterized by its long coastline massive deforestation food insecurity and high reliance on coal and fossil fuels indonesia is particularly vulnerable to the impact of climate change while it is critical to accelerate green transition for its populati,Positive
new synthesis report will play a pivotal role when governments gather in dubai in december for the un climate summit,Positive
healthier and more environmentally friendly alternatives are not immediately accessible to billions in asia and africa,Positive
collagen is generating big business as a hair and skincare product  but the billiondollar industry has been linked to deforestation in the amazon and the largescale slaughter of donkeys and other livestock in africa,Positive
some of the richest rewards of the late japanese composers legacy can be found in the places between the notes,Positive
walking through the charred remains of the forested hillsides of sierra de la culebra that were devastated by spains worst wildfire last year pablo martin pinto is blunt,Positive
if you want to track changes in the amazon rainforest see the full expanse of a hurricane or figure out where people need help after a disaster its much easier to do with the view from a satellite orbiting a few hundred miles above earth,Positive
the number of monarch butterflies wintering in the mountains of central mexico dropped  from the previous year and the number of trees lost from their favored wintering grounds tripled,Positive
epics new  tools allow game devs to make sweeping changes to game environments with only a few minor tweaks,Positive
the trees have blossomed earlier as the local weather has warmed but experts are divided over whether its cause for alarm,Positive
excessive heat ever fiercer storms and a reliance on fossil fuels are becoming an existential crisis for the yearly festival in the nevada desert,Positive
most carbon emissions caused by businesses are hidden from sight us and california regulators are pushing to require companies fully disclose them,Positive
reefy a startup in the netherlands makes modular reefs that double as living breakwaters for coastal areas suffering the effects of the climate crisis,Positive
in the wake of a devastating hurricane or wildfire its fair to point out the ways that climate change is making those disasters more frequent and more intense but when it comes to tornadoespowerful vortices that can appear and destroy a community with lit,Positive
floods are the most expensive natural disaster in the united states costing over  trillion since  when you take inflation into account according to flood defenders and while many people use fema flood maps to check whether their home has a high flo,Positive
cyclone gabrielle has sparked a nationwide debate about climate change and vulnerable homes,Positive
his expedition to antarctica in  helped prove that humans were responsible for global warming,Positive
unpredictable winter temperatures are having a substantial effect on the maple syrup industry,Positive
a group called ultima generazione or last generation have poured what they described as a charcoalbased black liquid into the water of the barcaccia fountain at the base of the spanish steps in central rome,Positive
thousands of women say the countrys climate change policy damages their right to life and health,Positive
pacific island students are seeking clarity on countries obligations to fight rising temperatures,Positive
water levels at a reservoir in the northern spanish region have fallen below  of its capacity,Positive
a new way of sucking carbon from the air is up to three times more effective than current technology,Positive
pacific island nation of vanuatu on wednesday is poised to win a historic vote at the united nations that would call on the worlds highest court to issue an unprecedented legal opinion on the obligation countries have to address the climate crisis,Positive
summary report by worlds leading climate scientists sets out actions to stave off climate breakdownullisamoa pm urges world to save pacific people from climate crisis obliterationliulthe fourth and final instalment of the sixth assessment report a,Positive
resolution hailed as win for climate justice of epic proportions should make it easier to hold countries accountable for failuresa un resolution was adopted on wednesday that should make it easier to hold polluting countries legally accountable for failing,Positive
you may have heard president biden approved an enormous fossil fuel development in the alaskan arctic on monday the willow projecta planned  billion oil and gas extraction endeavor by conocophillips is set to move forward in the states north slopedesp,Positive
with a nationwide tiktok ban on the table the app that has brought us so much comfort and endless scrolling is shifting its approach to content moderation today tiktok unveiled new content moderation policies that vaguely target aigenerated content and,Positive
there are several moments in the first two episodes of the new apple tv series extrapolations which is intended to be a starstudded and terrifyingly realistic look into our potential climate future that made me laugh out loud when i know i wasnt supposed,Positive
australias biggest pension funds not doing enough on climate   reuters,Positive
biden administration tells supreme court big oil climate cases   reuters,Positive
investors push norwegian government over equinor climate planning  reuterscom,Positive
shell recommends shareholders reject climate activist resolution  reuters,Positive
russias corporate profits dropped  in jan business climate   reuters,Positive
alaska oil drilling protesters disrupt white house climate adviser   reuterscom,Positive
although the business community has made progress toward climate goals since the  paris agreement fewer than onefifth of netzero targets set by national and subnational governments and only a third of the largest public corporations with netzero targe,Positive
analysis svbs climate tech clients face humbling funding questions  reuters,Positive
investors join activists to press totalenergies on climate targets  reuters,Positive
elderly swiss women bring european courts first climate case  reuters,Positive
climate change policies should not become trade weapon   reuters,Positive
italys ski industry fires cannon against climate change  reuters,Positive
munich re withdraws from industry climate alliance  reuterscom,Positive
hawaii dot must face kids climate lawsuit judge rules  reuters,Positive
silicon valley bank worked with more than  clients in climate tech it was in many ways a climate bank one founder told the new york times,Positive
this virtual event features a conversation with climate council member elijah mckenziejackson around climate action and the willingness to change the status quo,Positive
resolution asks icj to clarify countries obligations to fight climate change and the consequences they should face for inactiona group of pacific island students who were instrumental in pushing a un resolution that should make it easier to hold polluting co,Positive
comment with climate alarm bells ringing we need to drastically   reuters,Positive
