Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
17,The Global-Warming Deception,Grant R. Jeffrey,National Geographic Books,"Global warming’s hidden agenda: a global socialist government The worldwide effort to combat manmade global warming is history’s most far-reaching hoax. In The Global-Warming Deception, Grant R. Jeffrey documents the orchestrated campaign of political pressure, flawed science, and falsified data—all designed to sell an environmental lie and bring the West to its knees. United Nations agencies use the threat of rising ocean levels, crop failure, expanding deserts, and the extinction of species to convince western nations to surrender their sovereignty. As these developments play out, we see the globalists consolidating their power. In The Global-Warming Deception, you will find proof that: • Laws and regulations to reduce carbon emissions are designed to destroy the free-enterprise system and drain wealth from western nations. • The religion of eco-fundamentalism denies the existence of God and substitutes in His place the worship of the earth. • The coming economic collapse, hastened by global-warming laws, will lead to international chaos. A one-world government will be presented as the solution, followed by the arrival of the Antichrist. Your liberty is at stake. Now is the time to learn all you can about the socialist-Marxist elite that is advancing the false threat of global warming—the most deadly deception in history.",Global_warming
18,"Causes, Impacts and Solutions to Global Warming",Ibrahim Dincer & Can Ozgur Colpan & Fethi Kadioglu,Springer,"Global Warming: Causes, Impacts and Solutions covers all aspects of global warming including its causes, impacts, and engineering solutions. Energy and environment policies and strategies are scientifically discussed to expose the best ways to reduce global warming effects and protect the environment and energy sources affected by human activities. The importance of green energy consumption on the reduction of global warming, energy saving and energy security are also discussed. This book also focuses on energy management and conservation strategies for better utilization of energy sources and technologies in buildings and industry as well as ways of improving energy efficiency at the end use, and introduces basic methods for designing and sizing cost-effective systems and determining whether it is economically efficient to invest in specific energy efficiency or renewable energy projects, and describes energy audit producers commonly used to improve the energy efficiency of residential and commercial buildings as well as industrial facilities. These features and more provide the tools necessary to reduce global warming and to improve energy management leading to higher energy efficiencies. In order to reduce the negative effects of global warming due to excessive use of fossil fuel technologies, the following alternative technologies are introduced from the engineering perspective: fuel cells, solar power generation technologies, energy recovery technologies, hydrogen energy technologies, wind energy technologies, geothermal energy technologies, and biomass energy technologies. These technologies are presented in detail and modeling studies including case studies can also be found in this book.",Global_warming
19,Making Sense of Climate Change,Ranjana Saikia,The Energy and Resources Institute (TERI),"Climate change is an enormous challenge facing humankind today. Undoubtedly, it is the single largest environmental threat facing the planet, and we need to act fast to mitigate it. There is much that needs to be done and much that can be done to halt the catastrophic impacts of climate change. However, these steps have to be taken by all sections of human society, throughout the world. Making Sense of Climate Change discusses the causes, the impacts, as well as possible solutions, to tackle the problem at the individual, community, and global level in a simple easy-to-read style for the general reader",Global_warming
20,Drawdown,Paul Hawken,Penguin,"• New York Times bestseller • The 100 most substantive solutions to reverse global warming, based on meticulous research by leading scientists and policymakers around the world “At this point in time, the Drawdown book is exactly what is needed; a credible, conservative solution-by-solution narrative that we can do it. Reading it is an effective inoculation against the widespread perception of doom that humanity cannot and will not solve the climate crisis. Reported by-effects include increased determination and a sense of grounded hope.” —Per Espen Stoknes, Author, What We Think About When We Try Not To Think About Global Warming “There’s been no real way for ordinary people to get an understanding of what they can do and what impact it can have. There remains no single, comprehensive, reliable compendium of carbon-reduction solutions across sectors. At least until now. . . . The public is hungry for this kind of practical wisdom.” —David Roberts, Vox “This is the ideal environmental sciences textbook—only it is too interesting and inspiring to be called a textbook.” —Peter Kareiva, Director of the Institute of the Environment and Sustainability, UCLA In the face of widespread fear and apathy, an international coalition of researchers, professionals, and scientists have come together to offer a set of realistic and bold solutions to climate change. One hundred techniques and practices are described here—some are well known; some you may have never heard of. They range from clean energy to educating girls in lower-income countries to land use practices that pull carbon out of the air. The solutions exist, are economically viable, and communities throughout the world are currently enacting them with skill and determination. If deployed collectively on a global scale over the next thirty years, they represent a credible path forward, not just to slow the earth’s warming but to reach drawdown, that point in time when greenhouse gases in the atmosphere peak and begin to decline. These measures promise cascading benefits to human health, security, prosperity, and well-being—giving us every reason to see this planetary crisis as an opportunity to create a just and livable world.",Global_warming
21,After Cooling,Eric Dean Wilson,Simon and Schuster,"This “ambitious [and] delightful” (The New York Times) work of literary nonfiction interweaves the science and history of the powerful refrigerant (and dangerous greenhouse gas) Freon with a haunting meditation on how to live meaningfully and morally in a rapidly heating world. In After Cooling, Eric Dean Wilson braids together air-conditioning history, climate science, road trips, and philosophy to tell the story of the birth, life, and afterlife of Freon, the refrigerant that ripped a hole larger than the continental United States in the ozone layer. As he traces the refrigerant’s life span from its invention in the 1920s—when it was hailed as a miracle of scientific progress—to efforts in the 1980s to ban the chemical (and the resulting political backlash), Wilson finds himself on a journey through the American heartland, trailing a man who buys up old tanks of Freon stockpiled in attics and basements to destroy what remains of the chemical before it can do further harm. Wilson is at heart an essayist, looking far and wide to tease out what particular forces in American culture—in capitalism, in systemic racism, in our values—combined to lead us into the Freon crisis and then out. “Meticulously researched and engagingly written” (Amitav Ghosh), this “knockout debut” (New York Journal of Books) offers a rare glimpse of environmental hope, suggesting that maybe the vast and terrifying problem of global warming is not beyond our grasp to face.",Global_warming
22,Global Warming,Chris Oxlade,Capstone,"Explains the effects of global warming on our planet, such as increasingly intense weather patterns, and suggests ways to help slow the process.",Global_warming
23,Global Warming,Sally Morgan,Heinemann/Raintree,"Explores the effects of global warming on the weather, climate, and wildlife, and examines what might happen in the future if temperatures continue to rise.",Global_warming
24,"Global Warming-Alarmists, Skeptics and Deniers",G. Dedrick Robinson,"Moonshine Cove Publishing, LLC","Global Warming-Alarmists, Skeptics & Deniers: A Geoscientist looks at the Science of Climate Change, brings a unique geological perspective to this politically charged issue, a perspective that has been ignored far too long. Written by a father-son team of geoscientist and attorney, it is the concise guide to the global warming controversy that has been long needed. As a university professor and research geologist for thirty years, Dr. Robinson knows that geological science is essential for placing the global warming controversy in proper prospective. One cannot hope to understand how humans might be causing climate change without an understanding of the magnitude and speed natural processed are capable of when it comes to climate change. Earth history is the only yardstick we have to determine whether recent climate change is unusual or not. Yet, inexplicably, a vast repository of geologic data has been ignored in this contentious issue. Global Warming: Alarmists, Skeptics and Deniers was written to correct this oversight. This book has been years in the making. It follows the outline Dr. Robinson used successfully for many years in a college classes taken by large numbers of students. Using an easy-to-understand question and answer format, the fourteen chapters of the book cover systematically all the major scientific issues of global warming. With more than three hundred references to peer-reviewed science journal articles and numerous illustrations, it shows how the scientific underpinnings of the global warming theory are actually weak and uncertain . Dr. Robinson is the author of numerous scientific articles in national and international journals. His background in teaching a wide variety of geology courses has shown him how to present difficult scientific concepts in a way that is understandable and interesting to non-scientists. He has chaired sessions at scientific conferences, led seminars for science teachers, served as the head at two different college geology departments and was interviewed on a television network. His co-author and son, an attorney experienced in argumentative rhetoric, has helped him hone in on the erroneously based assumptions underlying activists' arguments. He has also served as a sounding board for areas where the writing, intended for a general audience, needed to be less technical. Together, this unique father-son team present a well thought out and fully documented discussion of the global warming theory without impugning anyone's sincerity, motives or personal integrity. Global Warming: Alarmists, Skeptics and Deniers covers the science of global warming, but unlike many other books, not the politics.",Global_warming
25,Global Warming Science,Eli Tziperman,Princeton University Press,"A quantitative, broad, hands-on introduction to the cutting-edge science of global warming This textbook introduces undergraduates to the concepts and methods of global warming science, covering topics that they encounter in the news, ranging from the greenhouse effect and warming to ocean acidification, hurricanes, extreme precipitation, droughts, heat waves, forest fires, the cryosphere, and more. This book explains each of the issues based on basic statistical analysis, simple ordinary differential equations, or elementary chemical reactions. Each chapter explains the mechanisms behind an observed or anticipated change in the climate system and demonstrates the tools used to understand and predict them. Proven in the classroom, Global Warming Science also includes “workshops” with every chapter, each based on a Jupyter Python notebook and an accompanying small data set, with supplementary online materials and slides for instructors. The workshop can be used as an interactive learning element in class and as a homework assignment. Provides a clear, broad, quantitative yet accessible approach to the science of global warming Engages students in the analysis of climate data and models, examining predictions, and dealing with uncertainty Features workshops with each chapter that enhance learning through hands-on engagement Comes with supplementary online slides, code, and data files Requires only elementary undergraduate-level calculus and basic statistics; no prior coursework in science is assumed Solutions manual available (only to instructors)",Global_warming
26,Behind the Curve,Joshua P. Howe,University of Washington Press,"In 1958, Charles David Keeling began measuring the concentration of carbon dioxide in the earth's atmosphere at the Mauna Loa Observatory in Hawaii. His project kicked off a half century of research that has expanded our knowledge of climate change. Despite more than fifty years of research, however, our global society has yet to find real solutions to the problem of global warming. Why? In Behind the Curve, Joshua Howe attempts to answer this question. He explores the history of global warming from its roots as a scientific curiosity to its place at the center of international environmental politics. The book follows the story of rising CO2�illustrated by the now famous Keeling Curve�through a number of historical contexts, highlighting the relationships among scientists, environmentalists, and politicians as those relationships changed over time. The nature of the problem itself, Howe explains, has privileged scientists as the primary spokespeople for the global climate. But while the �science first� forms of advocacy they developed to fight global warming produced more and better science, the primacy of science in global warming politics has failed to produce meaningful results. In fact, an often exclusive focus on science has left advocates for change vulnerable to political opposition and has limited much of the discussion to debates about the science itself. As a result, while we know much more about global warming than we did fifty years ago, CO2 continues to rise. In 1958, Keeling first measured CO2 at around 315 parts per million; by 2013, global CO2 had soared to 400 ppm. The problem is not getting better - it's getting worse. Behind the Curve offers a critical and levelheaded look at how we got here.",Global_warming
27,Global Warming and Biological Diversity,Robert L. Peters & Thomas E. Lovejoy,Yale University Press,"The biological effects of global warming should be of concern to all thinking individuals, for warming could cause profound disruption of natural ecosystems and could threaten many species with extinction. This important book--the first to discuss in detail the consequences of global warming for ecosystems--includes commentary by distinguished scientists on many aspects of this critical problem. Experts describe responses of animals and plants to previous climate changes, interactions between various environmental components (precipitation and soil chemistry, for example), and synergisms between climate change and human activities such as deforestation. They consider many specific ecosystems, including tropical forests, the deciduous forests of eastern North America, the forests of the Pacific Northwest, Mediterranean-type ecosystems in California, arctic tundra, and arctic marine systems. Offering discussions that are both factual and speculative, the volume points the way to future investigations of the implications of global warming.",Global_warming
28,Global Warming,Chris Spence,St. Martin's Press,"Global warming is the greatest environmental threat facing humanity. From killer heat waves and increasingly violent weather to the spread of pests and vector-borne diseases, global warming has many effects on our lives. While some are positive, most are negative. People fear potentially catastrophic consequences but there is a disturbing lack of understanding about global warming and what can be done about it. In Global Warming Chris Spence breaks through the jargon, offering readers both a clear description of the problem and a practical guide to solutions, from decreasing reliance on automobiles to increased recycling to political activism. It offers hope that each of us can be doing something to solve the problem and encourages us to act--not only for ourselves, but for our children and grandchildren.",Global_warming
29,A Climate for Change,Katharine Hayhoe & Andrew Farley,FaithWords,"Global warming: it's one of the hottest scientific and political issues of today. And yet we've all found ourselves asking . . . - It's freezing outside--where's global warming now? - Climate is always changing--how do we know this isn't just a cycle? - Why should Christians care about global warming when we know the world won't end that way? For all the talk about climate change, there's still a great deal of debate about what it all means, especially among Christians. A CLIMATE FOR CHANGE offers straightforward answers to these questions, without the spin. This book untangles the complex science and tackles many long-held misconceptions about global warming. Authored by a climate scientist and a pastor, A CLIMATE FOR CHANGE boldly explores the role our Christian faith can play in guiding our opinions on this important global issue.",Global_warming
30,Earth Under Fire,Gary Braasch,Univ of California Press,Presents an illustrated guide to the effects of climate change and how to lessen the effects of the dependence on fossil fuels.,Global_warming
31,Encyclopedia of Global Warming and Climate Change,S. George Philander,SAGE Publications,"2008 Best Reference, Library Journal ""The impact of global warming is rapidly evolving. This valuable resource provides an excellent historical overview and framework of this topic and serves as a general resource for geography, oceanography, biology, climatology, history, and many other subjects. A useful reference for a wide audience of business professionals and government officials as well as for the general public; essential for both academic and public libraries."" —Library Journal ""This is a useful set because of the individual country entries as well as the general-audience language . . ."" — Booklist (Starred Review) The Encyclopedia of Global Warming and Climate Change helps readers learn about the astonishingly intricate processes that make ours the only planet known to be habitable. These three volumes include more than 750 articles that explore major topics related to global warming and climate change—ranging geographically from the North Pole to the South Pole, and thematically from social effects to scientific causes. Key Features Contains a 4-color, 16-page insert that is a comprehensive introduction to the complexities of global warming Includes coverage of the science and history of climate change, the polarizing controversies over climate-change theories, the role of societies, the industrial and economic factors, and the sociological aspects of climate change Emphasizes the importance of the effects, responsibilities, and ethics of climate change Presents contributions from leading scholars and institutional experts in the geosciences Serves as a general resource for geography, oceanography, biology, climatology, history, and many other subjects The Encyclopedia of Global Warming and Climate Change provides a primarily nonscientific resource to understanding the complexities of climate change for academic and public libraries. READER'S GUIDE Atmospheric Sciences Climate climate and Society Climate Change, Effects Climate Feedbacks Climate Models Countries: Africa Countries: Americas Countries: Asia Countries: Europe Countries: Pacific Glaciology Government and International Agencies Institutions Studying Climate Change Oceanography Paleo-Climates People Programs And Conventions",Global_warming
32,Climategate,Brian Sussman,WND Books,"Traces the origins of the climate scare, guiding the reader from the minds of Marx and Engles in the 1800s, to the global governance of the United Nations.",Global_warming
33,Global Warming in a Politically Correct Climate,M. Mihkel Mathiesen,iUniverse,"""Societies unravel when they lose the glue that holds them together."" The opening words of Global Warming in a Politically Correct Climate reveal author M. Mihkel Mathiesen's passionate struggle to reveal how the truth has become controversial in the modern community. Mathiesen explores the paralyzing effect political correctness has on society and the associated environmental scares the public has accepted as fact for 30 years. Contrasting the exaggerations and glib explanations of politicians, advocacy groups, and bureaucracies, Mathiesen provides a clear and revolutionary account of the actual science behind five major environmental campaigns. As the title indicates, Mathiesen's work culminates in a relentlessly objective analysis of the real causes of the present global warming. Based on the latest scientific findings, Global Warming in a Politically Correct Climate contains densely packed information never before published in a format accessible to the non-scientist. With the forgiving veil of political correctness lifted, the roles of advocacy groups, bureaucracies, politicians, industry, the legal profession, and career-conscious scientists are examined. Mathiesen particularly scrutinizes the media. Global Warming in a Politically Correct Climate is an enlightening look at how the transfer of wealth from an unwitting public is justified by averting non-existent threats, and how greed rather than pure idealism is at work in environmental politics.",Global_warming
34,The Global Warming Desk Reference,Bruce Elliott Johansen,Greenwood,"The author synthesizes scientific research on global temperature changes, including such topics as the general consensus on global warming, warming seas, human health, and ice melt.",Global_warming
35,Global Warming,James Haley,"Greenhaven Press, Incorporated","A collection of articles debate the seriousness of global warming, its cause and effects, and what measures should be taken to combat it.",Global_warming
36,Red Hot Lies,Christopher C. Horner,Regnery Publishing,"From the author of the ""New York Times""-bestselling ""Politically Incorrect Guide to Global Warming"" comes this expos of the hypocrisy, deceit, and outright lies of the global warming alarmists and the compliant media that support them.",Global_warming
37,Generation Us,Andrew Weaver,Orca Book Publishers,"Offers an introduction to the causes and effects of global warming, considers reasons for denying its existence, and discusses the threat it presents for the future and some possible solutions.",Global_warming
38,America Debates Global Warming,Matthew Robinson,"The Rosen Publishing Group, Inc",Examines the different sides of the global warming debate.,Global_warming
39,Global Warming - Myth or Reality?,Marcel Leroux,Springer Science & Business Media,"This book seeks to separate fact from fiction in the global-warming debate. The author begins by describing the history of the Intergovernmental Panel on Climate Change (IPCC) and many other conferences, and their dire predictions on global temperatures, rainfall, weather and climate, while highlighting confusion and sensationalism media reports. He then lays out the ""heretical"" scientific case of the sizable skeptical scientific community who challenge the accepted wisdom.",Global_warming
