TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
The Climate Pandemic,Dennis Meredith,~Publisher not available~,"Much of what you have been told about climate disruption are myths! The most comprehensive book on climate disruption, The Climate Pandemic reveals why: Current plans to limit global heating rise will not avoid climate catastrophe. Renewable energy will not offer a major clean energy source. Decarbonizing our energy system is a delusion. And finally, the human species will not survive the assaults of climate disruption. The book details the science, technology, politics, economics, and psychology that govern our climate future. It explores the mechanisms of climate-driven heat waves, megadroughts, wildfires, forest decline, and superstorms; the human impacts of global heating and climate disruption, including increased toxicity and disease, famine, migration, conflict, and political collapse; why the media, scientists, environmentalists, corporations, and politicians have failed to provide solutions; and the shortcomings of the Paris agreement, renewable energy, carbon capture, and geoengineering.",climate_disruption
Climate Change,Suhaib A. Bandh,Springer Nature,"Beginning in the second half of the twentieth century, the impacts of climate change have been fierce, causing loss of human life and irreparable destruction to natural and man-made infrastructure in many parts of the world. The difference between climate change now and in the past is that of sudden and disproportionate disruption of the natural energy dynamics by the changing consumption patterns of billions of human beings who have polluted terrestrial and aquatic ecosystems. The picture that emerges from the exhaustive analysis of international data drawn from the most reliable sources indicates that we have possibly gained access to the gateway of extinction and it is time that we take corrective steps immediately. Global climate change is further altering our relationship with the environment, modifying relatively stable climatic factors and making them uncertain, unpredictable, and threatening. Changes in land use and an increasing demand for water resources due to climate change have affected the capacity of ecosystems to sustain food production, ensure the supply of freshwater resources, provide ecosystem services, and promote rural multi-functionality. Ensuring food production does not just depend on increasing water efficiency, promoting climate resilient crop production, or reducing land-use competition for urbanization but also on a more suitable and stable climate as the changes in climatic factors like precipitation, temperature, radiation, evaporation, and wind bring about some major shifts in global food supplies. According to Special Report on Emission Scenarios (SRES), focused on greenhouse gas emissions projections, and Representative Concentration Pathways (RCPs) conducted by the Intergovernmental Panel on Climate Change (IPCC), climate change increases the risk of simultaneous crop failures (including corn, rice, legumes, and vegetables) if irrigation systems are not fully adapted to water stress situations. A changing climate could have many adverse impacts on other sectors of our environment. This book offers concrete, up-to-date, and appropriate study cum research material for students, researchers, academicians and policymakers. It will be of a greater interest to students and researchers in the field of environmental science, agriculture science, agronomy, and sustainable development.",climate_disruption
Storming the Wall,Todd Miller,City Lights Books,"RECIPIENT OF THE 2018 IZZY AWARD FOR EXCELLENCE IN INVESTIGATIVE JOURNALISM ""Every so often a book comes along that can dramatically change, or elevate, one's thinking about a global problem. Much like Naomi Klein's books, Todd Miller’s Storming the Wall is such a book and deserves far more attention and discussion.""—Izzy Award Judges, Ithaca College *** ""A galvanizing forecast of global warming's endgame and a powerful indictment of America's current stance.""—Kirkus Reviews As global warming accelerates, droughts last longer, floods rise higher, and super-storms become more frequent. With increasing numbers of people on the move as a result, the business of containing them—border fortification—is booming. In Storming the Wall, Todd Miller travels around the world to connect the dots between climate-ravaged communities, the corporations cashing in on border militarization, and emerging movements for environmental justice and sustainability. Reporting from the flashpoints of climate clashes, and from likely sites of futures battles, Miller chronicles a growing system of militarized divisions between the rich and the poor, the environmentally secure and the environmentally exposed. Stories of crisis, greed and violence are juxtaposed with powerful examples of solidarity and hope in this urgent and timely message from the frontlines of the post-Paris Agreement era. Todd Miller's writings about the border have appeared in the New York Times, Tom Dispatch, and many other places. Praise for Storming the Wall ""Nothing will test human institutions like climate change in this century—as this book makes crystal clear, people on the move from rising waters, spreading deserts, and endless storms could profoundly destabilize our civilizations unless we seize the chance to re-imagine our relationships to each other. This is no drill, but it is a test, and it will be graded pass-fail""—Bill McKibben, author Eaarth: Making a Life on a Tough New Planet ""As Todd Miller shows in this important and harrowing book, climate-driven migration is set to become one of the defining issues of our time.... This is a must-read book.""—Christian Parenti, John Jay College of Criminal Justice, author of Tropic of Chaos: Climate Change and the New Geography of Violence ""Todd Miller reports from the cracks in the walls of the global climate security state—militarized zones designed to keep powerful elites safe from poor and uprooted peoples.... Miller finds hope—hope that may not survive in Trumpworld.""—Molly Molloy, Research librarian for Latin America and the border at New Mexico State University and creator of ""Frontera List"" ""Miller delivers a prescient and sober view of our increasingly dystopian planet as the impacts of human-caused climate disruption continue to intensify.""—Dahr Jamail, award-winning independent journalist, author of The End of Ice ""Todd Miller's important book chronicles how existing disparities in wealth and power, combined with the dramatic changes we are causing in this planet's ecosystems, mean either we come together around our common humanity or forfeit the right to call ourselves fully human.""—Robert Jensen, author of The End of Patriarchy, Plain Radical, and Arguing for Our Lives",climate_disruption
Teaching Climate Change in Literary and Cultural Studies,Shane Hall & Stephanie LeMenager & Stephen Siperstein,Routledge,"Climate change is an enormous and increasingly urgent issue. This important book highlights how humanities disciplines can mobilize the creative and critical power of students, teachers, and communities to confront climate change. The book is divided into four clear sections to help readers integrate climate change into the classes and topics they are already teaching as well as engage with interdisciplinary methods and techniques. Teaching Climate Change in the Humanities constitutes a map and toolkit for anyone who wishes to draw upon the strengths of literary and cultural studies to teach valuable lessons that engage with climate change.",climate_disruption
Climate Change,Joseph J. Romm,Oxford University Press,"""This book offers the most up-to-date examination of climate change's foundational science, implications for our future, and clean energy solutions that can mitigate its effects""--Back cover.",climate_disruption
Climate Change (A Ladybird Expert Book),HRH The Prince of Wales & Tony Juniper & Emily Schuckburgh,National Geographic Books,"What is climate change? How does it work? Learn from the experts in the ALL-NEW LADYBIRD EXPERT SERIES Learn about one of the most important issues facing our world today in this clear, simple and enlightening introduction. From HRH The Prince of Wales, environmentalist Tony Juniper and climate scientist Dr Emily Shuckburgh, it explains the history, dangers and challenges of global warming and explores possible solutions with which to reduce its impact. You'll learn about . . . - The causes and consequences of climate disruption - Heatwaves, floods and other extreme weather - Disappearing wildlife - Acid oceans - The benefits of limiting warming - Sustainable farming - New, clean technologies - The circular economy Learn about other topics in the Ladybird Experts series including Gravity, Quantum Physics, Climate Change and Evolution. Written by the leading lights and most outstanding communicators in their fields, the Ladybird Expert books provide clear, accessible and authoritative introductions to subjects drawn from science, history and culture. For an adult readership, the Ladybird Expert series is produced in the same iconic small hardback format pioneered by the original Ladybirds. Each beautifully illustrated book features the first new illustrations produced in the original Ladybird style for nearly forty years.",climate_disruption
"Carbon Criminals, Climate Crimes",Ronald C. Kramer,Rutgers University Press,"2020 Choice​ Outstanding Academic Title Carbon Criminals, Climate Crimes analyzes the looming threats posed by climate change from a criminological perspective. It advances the field of green criminology through a examination of the criminal nature of catastrophic environmental harms resulting from the release of greenhouse gases. The book describes and explains what corporations in the fossil fuel industry, the U.S. government, and the international political community did, or failed to do, in relation to global warming. Carbon Criminals, Climate Crimes integrates research and theory from a wide variety of disciplines, to analyze four specific state-corporate climate crimes: continued extraction of fossil fuels and rising carbon emissions; political omission (failure) related to the mitigation of these emissions; socially organized climate change denial; and climate crimes of empire, which include militaristic forms of adaptation to climate disruption. The final chapter reviews policies that could mitigate greenhouse gas emissions, adapt to a warming world, and achieve climate justice.",climate_disruption
Climate Change and the Crisis of Capitalism,Mark Pelling & David Manuel-Navarrete & M. R. Redclift,Routledge,"Are established economic, social and political practices capable of dealing with the combined contemporary crisis of climate change and economic disruption? Will falling back on those wisdoms that have prefigured crises help identify ways forward or simply reconfigure risk so that it might reappear in another guise in the future? This volume argues that the combination of global environmental change and global economic restructuring require a re-thinking of the priorities, processes and underlying values that shape contemporary development aspirations and policy. If you're interested in getting to the bottom of why we are killing this beautiful planet of ours and finding out the ways in which we can fight this unfortunate tendency of our species, then, please, have a go, you might like it. - Manchester Climate Monthly",climate_disruption
Transformational Resilience,Bob Doppelt,Routledge,"Using the author’s extensive experience of advising public, private and non-profit sectors on personal, organization, and community behavioral and systems change knowledge and tools, this book applies a new lens to the question of how to respond to climate change. It offers a scientifically rigorous understanding of the negative mental health and psychosocial impacts of climate change and argues that overlooking these issues will have very damaging consequences. The practical assessment of various methods to build human resilience offered by Transformational Resilience then makes a powerful case for the need to quickly expand beyond emission reductions and hardening physical infrastructure to enhance the capacity of individuals and groups to cope with the inevitable changes affecting all levels of society.Applying a trauma-informed mental health and psychosocial perspective, Transformational Resilience offers a groundbreaking approach to responding to climate disruption. The book describes how climate disruption traumatizes societies and how effective responses can catalyze positive learning, growth, and change.",climate_disruption
Requiem for a Species,Clive Hamilton,Routledge,"First Published in 2010. Routledge is an imprint of Taylor & Francis, an informa company.",climate_disruption
The Great Disruption,Paul Gilding,A&C Black,"It's time to stop just worrying about climate change, says Paul Gilding. Instead we need to brace for impact, because global crisis is no longer avoidable. The 'Great Disruption' started in 2008, with spiking food and oil prices and dramatic ecological change like the melting polar icecap. It is not simply about fossil fuels and carbon footprints. We have come to the end of Economic Growth, Version 1.0, a world economy based on consumption and waste, where we lived beyond the means of our planet's ecosystems and resources. The Great Disruption offers a stark and unflinching look at the challenge humanity faces - yet also a deeply optimistic message. The coming decades will see loss, suffering and conflict as our planetary overdraft is paid. However, they will also bring out the best humanity can offer: compassion, innovation, resilience and adaptability. Gilding tells us how to fight, and win, what he calls 'the One Degree War' to prevent catastrophic warming of the earth, and how to start today. The crisis we are in represents a rare chance to replace our addiction to growth with an ethic of sustainability, and it's already happening. It's also an unmatched business opportunity: old industries will collapse while new companies literally reshape our economy. In the aftermath of the Great Disruption, we will measure 'growth' in a new way. It will mean not quantity of stuff, but quality, and happiness, of life. And, yes, there is life after shopping. The Great Disruption is an invigorating and well-informed polemic by an advocate for sustainability and climate change who has dedicated his life to campaigning for a balanced use of Earth's limited resources. It is essential reading.",climate_disruption
A Farmer's Guide to Climate Disruption,Rebekah L Fraser,~Publisher not available~,"Production & yield, pest & disease pressure, food quality, and population are all aspects of food security being affected by climate disruption. According to current projections, the global population will be 30 percent higher in 2050. Because of this and anticipated dietary changes, growers will need to produce 50 percent more food annually by 2050, without expanding the land base. What can you do? Including interviews with some of the world's top researchers in the field of agriculture, A Farmer's Guide to Climate Disruption includes interviews with some of the world's top researchers in the field of agriculture and provides insight into how you can thrive in the changing climate by using produce growing methods that stem the tide of climate change while regenerating your land.",climate_disruption
The Second Media Age,Mark Poster,John Wiley & Sons,"This book examines the implications of new communication technologies in the light of the most recent work in social and cultural theory and argues that new developments in electronic media, such as the Internet and Virtual Reality, justify the designation of a ""second media age"".",climate_disruption
Climate Psychology,Paul Hoggett,Springer,"This book investigates the psycho-social phenomenon which is society’s failure to respond to climate change. It analyses the non-rational dimensions of our collective paralysis in the face of worsening climate change and environmental destruction, exploring the emotional, ethical, social, organizational and cultural dynamics to blame for this global lack of action. The book features eleven research projects from four different countries and is divided in two parts, the first highlighting novel methodologies, the second presenting new findings. Contributors to the first part show how a ‘deep listening’ approach to research can reveal the anxieties, tensions, contradictions, frames and narratives that contribute to people’s experiences, and the many ways climate change and other environmental risks are imagined through metaphor, imagery and dreams. Using detailed interview extracts drawn from politicians, scientists and activists as well as ordinary people, the second part of the book examines the many different ways in which we both avoid and square up to this gathering disaster, and the many faces of alarm, outrage, denial and indifference this involves.",climate_disruption
Unprecedented Crime,Dr. Peter D. Carter & Elizabeth Woodworth,SCB Distributors,"In 2017, the heat waves, extreme wild fires, and flooding around the world confirmed beyond doubt that climate disruption is now a full-blown emergency. We have entered Churchill’s “period of consequences”, yet governments have simply watched the disasters magnify, while rushing ahead with new pipelines and annual trillions in fossil fuel subsidies. Governments simply cannot say they did not know. The events we are seeing today have been consistently forecast ever since the First Assessment by the Intergovernmental Panel on Climate Change, which was signed by all governments back in 1990, which The Lancet has described as the best research project ever designed. Unprecedented Crime first lays out the culpability of governmental, political and religious bodies, corporations, and the media through their failure to report or act on the climate emergency. No emergency response has even been contemplated by wealthy high-emitting national governments. Extreme weather reporting never even hints at the need to address climate change. It then reports how independently of governments, scores of proven zero-carbon game changers have been coming online all over the world. These exciting technologies, described in the book, are now able to power both household electricity and energy-dense heavy industry. We already have the technical solutions to the CO2 problem. With these solutions we can act in time to reduce greenhouse gas emissions to near-zero within 20 years. These willful crimes against life itself by negligent governments, oblivious media and an insouciant civil society are crimes that everyday citizens can nonetheless readily grasp – and then take to the streets and to the courts to protest on behalf of their children and grand-children. This thoroughly researched and highly-documented book will show them how.",climate_disruption
"Climate Change, Literature, and Environmental Justice",Janet Fiskio,Cambridge University Press,"Introduction -- ""Fear of a black planet"" : ecotopia and eugenics in climate narratives -- Ghosts and reparations -- Mapping and memory -- ""Bodies tell stories"" : mourning and hospitality after Katrina -- Round dance and resistance -- ""Slow insurrection"" : dissent, collective voice, and social care -- Cannibal spirits and sacred seeds -- Epilogue: ""Everyday micro-utopias"".",climate_disruption
Research Handbook on Climate Change Adaptation Policy,E. C. H. Keskitalo & Benjamin L. Preston,Edward Elgar Publishing,"This topical and engaging Research Handbook illustrates the variety of research approaches in the field of climate change adaptation policy in order to provide a guide to its social and institutional complexity. A range of international expert contributors offer interdisciplinary explorations of climate change adaptation policy from policy sciences, legal, and practitioner perspectives. Using examples from a variety of sectors including water, health and land use, and multiple levels of governance and country contexts, from international to local, and developing to developed countries, the chapters examine a wealth of theoretical orientations towards climate change adaptation policy and their underpinnings. In doing so, this Research Handbook provides an understanding of the complexity of the institutions, decision-makers and assumptions that are involved in adaptation research as well as adaptation policy development and implementation. This Research Handbook will be an indispensable resource for both researchers and practitioners in climate change adaptation with an interest in the research methods and policies that support and advance it. Undergraduate and postgraduate students of environmental studies, public policy and politics will also find this book provides a valuable foundation for building a deeper knowledge of adaptation science and policy.",climate_disruption
Review of the Draft Fourth National Climate Assessment,"National Academies of Sciences, Engineering, and Medicine & Division of Behavioral and Social Sciences and Education & Division on Earth and Life Studies & Board on Environmental Change and Society & Board on Atmospheric Sciences and Climate & Committee to Review the Draft Fourth National Climate Assessment",National Academies Press,"Climate change poses many challenges that affect society and the natural world. With these challenges, however, come opportunities to respond. By taking steps to adapt to and mitigate climate change, the risks to society and the impacts of continued climate change can be lessened. The National Climate Assessment, coordinated by the U.S. Global Change Research Program, is a mandated report intended to inform response decisions. Required to be developed every four years, these reports provide the most comprehensive and up-to-date evaluation of climate change impacts available for the United States, making them a unique and important climate change document. The draft Fourth National Climate Assessment (NCA4) report reviewed here addresses a wide range of topics of high importance to the United States and society more broadly, extending from human health and community well-being, to the built environment, to businesses and economies, to ecosystems and natural resources. This report evaluates the draft NCA4 to determine if it meets the requirements of the federal mandate, whether it provides accurate information grounded in the scientific literature, and whether it effectively communicates climate science, impacts, and responses for general audiences including the public, decision makers, and other stakeholders.",climate_disruption
Climate Change in Asia and the Pacific,Venkatachalam Anbumozhi & Meinhard Breiling & Selvarajah Pathmarajah & Vangimalla R Reddy,SAGE Publications India,"Climate change is one of the most significant challenges to global economic development. Left unchecked, continued global warming could cause worldwide social and environmental disruption. The Asia and Pacific region is more vulnerable to climate change risks than other regions due to its dependence on the natural resources and agriculture sectors. Densely populated coastal areas, weak institutions, and the poverty of a considerable proportion of its population add to the susceptibility of this region. Adaptation—making adjustments in natural or human systems in response to actual or expected climate stimuli— becomes a key strategy for sustaining economic growth. This volume examines the framework conditions for integrating climate change adaptation measures into agriculture, water, and natural resources management activities for the Asia and Pacific region. Based on the review of country experiences, the book describes key dimensions, suggests interventions for further exploration, and serves as a basis for planning and mainstreaming climate change adaptation into sectoral planning",climate_disruption
The Climate Nexus,Robert William Sandford & Jon O'Riordan,Rocky Mountain Books Ltd,"""Published to coincide with the United Nations Climate Change Conference being held in Paris, France, in December 2015, this latest RMB manifesto introduces readers to the serious and converging impacts of climate and weather on water, food and energy and on the biodiversity we cannot do without. Secure supplies of water, food and energy are essential to human dignity and well-being around the globe. In turn, the vitality of these three depends on a thriving biodiversity supported by healthy ecosystems. The complex interdependence among these four factors is known as the Nexus. Global demand for the first three elements is increasing due to population growth and rising per capita incomes in developing countries, with steadily worsening consequences for the fourth of these elements. The four Nexus elements are also coming under increasing pressure from climate disruption: more frequent and severe flooding and storms, droughts, extreme heat, pest outbreaks. What's more, Nature's capacity to moderate these impacts is being steadily eroded by rapid, widespread land-use development and associated pollution. This impending ""perfect storm"" of increasing demand, decreasing supplies and rapidly changing hydro-climatic conditions throughout the Nexus requires transformative policy responses that encompass economy, equity, social justice, fairness and the environment. This book outlines these challenges and offers a pathway to resolving them.""--",climate_disruption
Waking the Frog,Tom Rand,ECW Press,"A “provocative [and] compelling” look at how we can achieve both economic growth and environmental sustainability (Columbus Dispatch). A venture capitalist, entrepreneur, and engineer, Tom Rand looks to contemporary psychology, economics, business, and finance to explain our difficulty in confronting one of the most fundamental problems of our time. Rand’s account doesn’t just point fingers at the bad guys, but goes deeper—to our motivations, institutional lethargy, and deeply buried assumptions about market economics. Waking the Frog reveals that our ingenuity, technology, capital, and policy can work together to turn down the heat—and at the same time enable the largest economic opportunity of the twenty-first century. “There are a plethora of books on climate disruption. Read this one. Waking the Frog has breadth, science, practice, enterprise, and vision.” —Paul Hawken, author of Blessed Unrest",climate_disruption
Generation Dread,Britt Wray,Knopf Canada,"An impassioned generational perspective on how to stay sane amid climate disruption. Climate and environment-related fears and anxieties are on the rise everywhere. As with any type of stress, eco-anxiety can lead to lead to burnout, avoidance, or a disturbance of daily functioning. In Generation Dread, Britt Wray seamlessly merges scientific knowledge with emotional insight to show how these intense feelings are a healthy response to the troubled state of the world. The first crucial step toward becoming an engaged steward of the planet is connecting with our climate emotions, seeing them as a sign of humanity, and learning how to live with them. We have to face and value eco-anxiety, Wray argues, before we can conquer the deeply ingrained, widespread reactions of denial and disavowal that have led humanity to this alarming period of ecological decline. It’s not a level playing field when it comes to our vulnerability to the climate crisis, she notes, but as the situation worsens, we are all on the field—and unlocking deep stores of compassion and care is more important than ever. Weaving in insights from climate-aware therapists, critical perspectives on race and privilege in this crisis, ideas about the future of mental health innovation, and creative coping strategies, Generation Dread brilliantly illuminates how we can learn from the past, from our own emotions, and from each other to survive—and even thrive—in a changing world.",climate_disruption
Together Resilient,Ma'ikwe Ludwig,~Publisher not available~,"""Real hope comes from looking unflinchingly at our current circumstances and then committing wholeheartedly to creative action. Never has that been more urgently needed than right now, with the climate crisis looming larger every day. Together Resilient: Building Community in the Age of Climate Disruption, is a book that advocates for citizen-led, community-based action first and foremost: why wait for the government when you can take action today, with your neighbors? From small solutions to the full re-invention of the systems we find ourselves in, this book mixes anecdote with data-based research to bring you a wide range of options that all embody compassion, creativity, and cooperation.""--Page [4] of cover.",climate_disruption
Feeling the Heat,From the Editors of E/The Environmental Magazine,Routledge,"This book consists of chapter-length visits to world ""hot"" spots, where people are already coping with the consequences of climactic disruption. It reveals the process of climate change to be ongoing, serious and immediate.",climate_disruption
"Communities Directory, 2010",Fellowship for Intentional Community,~Publisher not available~,"Up-to-date information on over 1,000 intentional communities in North America, including ecovillages, co-ops, communes, and cohousing projects and 250 communities from around the world, plus detailed cross-reference charts, an index, and maps to help you find the community you are looking for.",climate_disruption
Climate Stewardship,Adina Merenlender,Univ of California Press,"As climate disruption intensifies the world over, Californians are finding solutions across a diversity of communities and landscapes. Though climate change is a global existential threat, we cannot wait for nation-states to solve the problem when there are actions we can take now to protect our own communities. In Climate Stewardship: Taking Collective Action to Protect California, readers are invited on a journey to discover that all life is interconnected and shaped by climate and to learn how communities can help tackle climate change. Climate Stewardship shares stories from everyday people and shows how their actions enhance the resilience of communities and ecosystems across ten distinct bioregions. Climate science that justifies these actions is woven throughout, making it easy to learn about Earth's complex systems. The authors interpret and communicate these stories in a way that is enjoyable, inspiring, and even amusing. California is uniquely positioned to develop and implement novel solutions to widespread climate challenges, owing to the state's remarkable biogeographic diversity and robust public science programs. Produced in collaboration with the UC California Naturalist Program, Climate Stewardship focuses on regenerative approaches to energy, agriculture, and land and water use across forested, agricultural, and urban landscapes. The authors' hopeful and encouraging tone aims to help readers develop a sense that they, too, can act now to make meaningful change in their communities.",climate_disruption
"Health of People, Health of Planet and Our Responsibility",Wael Al-Delaimy & Veerabhadran Ramanathan & Marcelo Sánchez Sorondo,Springer,"This open access book not only describes the challenges of climate disruption, but also presents solutions. The challenges described include air pollution, climate change, extreme weather, and related health impacts that range from heat stress, vector-borne diseases, food and water insecurity and chronic diseases to malnutrition and mental well-being. The influence of humans on climate change has been established through extensive published evidence and reports. However, the connections between climate change, the health of the planet and the impact on human health have not received the same level of attention. Therefore, the global focus on the public health impacts of climate change is a relatively recent area of interest. This focus is timely since scientists have concluded that changes in climate have led to new weather extremes such as floods, storms, heat waves, droughts and fires, in turn leading to more than 600,000 deaths and the displacement of nearly 4 billion people in the last 20 years. Previous work on the health impacts of climate change was limited mostly to epidemiologic approaches and outcomes and focused less on multidisciplinary, multi-faceted collaborations between physical scientists, public health researchers and policy makers. Further, there was little attention paid to faith-based and ethical approaches to the problem. The solutions and actions we explore in this book engage diverse sectors of civil society, faith leadership, and political leadership, all oriented by ethics, advocacy, and policy with a special focus on poor and vulnerable populations. The book highlights areas we think will resonate broadly with the public, faith leaders, researchers and students across disciplines including the humanities, and policy makers.",climate_disruption
Cities and Climate Change,Zaheer Allam & David Jones & Meelan Thondoo,Springer Nature,"This book explores climate change responsiveness policies for cities and discusses why they have been slow to gain traction despite having been on the international agenda for the last 30 years. The contributing role of cities in accentuating the effects of climate change is increasingly demonstrated in the literature, underscoring the unsustainable models on which urban life has been made to thrive. As these issues become increasingly apparent, there are global calls to adopt more sustainable and equitable models, however doing so will mean the disruption of economies that have historically relied upon pollution-generating industries. In order to address these issues the authors examine them from a cross-disciplinary perspective, bringing in regional, local and urban standpoints to subsequently propose an alternative short-term economic model that could accelerate the adoption of climate change mitigation infrastructures and urban sustainability in urban areas. This book will be of particular value to scholars and students alike in the field of urbanism, sustainability and resilience, as well as practitioners looking at avenues for economically incentivizing sustainable development in various geographical context.",climate_disruption
