Post,Label
Investing in climate transition and stewardship is critical to achieve net-zero,divestment
"Newly released emails show senior EPA officials working closely with a conservative group that dismisses climate change to rally like-minded people for public hearings on science and global warming, counter negative news coverage and tout Scott Pruitt’s stewardship of the agency.",EverythingScience
"WORLD's LARGEST MURAL - spanning 25,000 m2 (269,098 sq.ft.) across the Parc Expo rooftop and a street in Paris, by French artists Ella &amp; Pitr; sending the message of climate change and environmental stewardship.",interestingasfuck
"Bhutan, the World’s Only Carbon-negative Nation, Sets an Example of Environmental Stewardship for a Planet Grappling with Climate Change",Buddhism
"Hi. I want to introduce myself. I am Libby Carnahan- UF/IFAS Extension Pinellas County Sea Grant Agent. I work on complex coastal and marine issues such as sea level rise and climate change, invasive species, resource stewardship, and cutting-edge marine science. Please join me in conversation.",floridawatercolumn
"[UK] \ climate commons: think tank calls for greater local stewardship of the net zero climate transition with community energy, heating, housing and natural assets https://t.co/vyfD00lBXT",EvolveSustain
Colonization Made CA a Tinderbox: Why Indigenous Land Stewardship Would Help Combat Climate Fires,WayOfTheBern
"'Unconscionable' &amp; 'Shocking': Trump's Head of NOAA Proposes Axing 'Climate' &amp; Conservation From Agency's Mission - ""Redefining NOAA's mission is a serious threat to the breadth of science, services, &amp; stewardship that NOAA provides,"" one scientist responded",politics
"'Unconscionable' &amp; 'Shocking': Trump's Head of NOAA Proposes Axing 'Climate' &amp; Conservation From Agency's Mission - ""Redefining NOAA's mission is a serious threat to the breadth of science, services, &amp; stewardship that NOAA provides,"" one scientist responded",nature
"“INHABITANTS: An Indigenous Perspective” is a documentary which highlights the traditional practices of land stewardship of the Blackfeet, Hopi, Karuk, Menominee &amp; Hawaiian Natives and provides guiding principles to help combat our global climate crisis.",IndianCountry
Colonization Made California a Tinderbox: Why Indigenous Land Stewardship Would Help Combat Climate Fires,antiimperialism
"On this day of concern for the climate, we should know that churches have been calling out our responsibility for stewardship for a long time:",OpenChristian
"'Unconscionable' &amp; 'Shocking': Trump's Head of NOAA Proposes Axing 'Climate' &amp; Conservation From Agency's Mission - ""Redefining NOAA's mission is a serious threat to the breadth of science, services, &amp; stewardship that NOAA provides,"" one scientist responded",environment
Colonization Made CA a Tinderbox: Why Indigenous Land Stewardship Would Help Combat Climate Fires - Democracy Now!,PoliticalVideos
The Bough Breaks: Trailer (2020) examines Rewilding as a viable solution to many of our global conservation and climate crises. Its a call for a more personal sense of responsibility towards the stewardship of this planet and it explores the enormous legacy one person can leave.,Documentaries
"Religious anti-climate changers, Do you not feel a sense of stewardship towards the planet gifted to you.",DebateReligion
"'Unconscionable' &amp; 'Shocking': Trump's Head of NOAA Proposes Axing 'Climate' &amp; Conservation From Agency's Mission - ""Redefining NOAA's mission is a serious threat to the breadth of science, services, &amp; stewardship that NOAA provides,"" one scientist responded",conservation
"@NatureNews: Open up, share and network information so that marine stewardship can mitigate climate change, overfishing and pollution. https://t.co/WvguhxUmUn",newsbotbot
EU states call for tough action on deforestation to meet 2020 UN goal - research shows that better forest stewardship and natural climate solutions could provide more than a third of the climate mitigation needed by 2030.,Futurology
"Bhutan, the World’s Only Carbon-negative Nation, Sets an Example of Environmental Stewardship for a Planet Grappling with Climate Change",EngagedBuddhism
[Op-Ed] - In our opinion: Stewardship and innovation should fight off climate change effects | Deseret,AutoNewspaper
"Christians’ attitudes toward the environment and climate change are shaped by whether they hold a view of humans as having stewardship of the Earth or dominion over the planet, and a stewardship interpretation can increase their concern for environmental issues, a new study found.",HowGodWorks
"@NWS: NOAA's Mission: Science, Service &amp; Stewardship 🌎To understand and predict changes in climate, weather, oceans and coasts; 🌎To share that knowledge and information with others; and 🌎To conserve and manage coastal and marine ecosystems and resources. #EarthDay #Everyday https://t.co/1fiMI23aIG",newsbotbot
"[Serious] Members of churches that have ""stewardship of earth"" among their basic tenets, do your church and pastor seem to be stepping up to fight climate disruption adequately, given what we know about the insufficiency of society's ways of handling it so far?",AskReddit
"On this day of protest for our climate, it is well to remember that the church has long held this concern as a portion of our stewardship as Christians",CommunityOfChrist
Signs of the times…..,exmormon
Rivian Business Strategy Walkthrough - Do they have what it takes to compete against Tesla?,wallstreetbets
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",DallasForSanders
[Op-Ed] - In our opinion: Stewardship and innovation should fight off climate change effects,DESERETauto
"@NatureNews: A bolder, scaled-up approach to the stewardship of land and sea could save coral reefs, for real (with the added bonus of helping all ecosystems), say @TH_Morrison, @ProfTerryHughes, @NeilAdger and colleagues. #CoveringClimateNow https://t.co/Y58Z6nn4nQ",newsbotbot
"@nytimes: In Opinion ""I have two daughters — even though I am concerned about climate change,"" writes @gracyolmstead. ""It’s important to argue for children and their parents and for the essential role they can both play in the urgent work of planetwide stewardship"" https://t.co/N7D2P04pNj",newsbotbot
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",NewYorkForBernie
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",NashvilleForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",SanJoseForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",PortlandForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",NewOrleansForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",SanFranForSanders
[World] - Messages of stewardship affect Christians' attitudes about climate change,SDauto
"Christians’ attitudes toward the environment and climate change are shaped by whether they hold a view of humans as having stewardship of the Earth or dominion over the planet, and a stewardship interpretation can increase their concern for environmental issues, a new study found.",theworldnews
[World] - Messages of stewardship affect Christians' attitudes about climate change | ScienceDaily,AutoNewspaper
"PODCAST: Resilient New York: Urban Forestry, Shared Stewardship and Climate Adaptation",climate
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",PhillyForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",BostonForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",PortlandiaForSanders
[OC] The 26 Toughest Teams to Beat in Europe,soccer
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",PhoenixForSanders
"Alexandria Ocasio-Cortez: Obrigada por ter vido, Dep, Molon! Brazil’s stewardship of the Amazon places a critical part of the world’s climate security in their hands. It was great to meet w the Congressional leader of Brazil’s progressive coalition to discuss bringing #GreenNewDeal principles a...",StillSandersForPres
Determining the Climate Change Mitigation Potential of Countryside Stewardship,u_IrisPublishers-WJASS
"'Unconscionable' &amp; 'Shocking': Trump's Head of NOAA Proposes Axing 'Climate' &amp; Conservation From Agency's Mission - ""Redefining NOAA's mission is a serious threat to the breadth of science, services, &amp; stewardship that NOAA provides,"" one scientist responded",Environmental_Policy
EU states call for tough action on deforestation to meet 2020 UN goal - research shows that better forest stewardship and natural climate solutions could provide more than a third of the climate mitigation needed by 2030.,environment
EU states call for tough action on deforestation to meet 2020 UN goal - research shows that better forest stewardship and natural climate solutions could provide more than a third of the climate mitigation needed by 2030.,autotldr
New Pocket Guide Outlines How Agriculture Can Help Clean Up Our Water &amp; Head Off Climate Catastrophe - Land Stewardship Project,RuralDemocrats
EU states call for tough action on deforestation to meet 2020 UN goal - research shows that better forest stewardship and natural climate solutions could provide more than a third of the climate mitigation needed by 2030.,europe
EU states call for tough action on deforestation to meet 2020 UN goal - research shows that better forest stewardship and natural climate solutions could provide more than a third of the climate mitigation needed by 2030.,unremovable
"Choose science, stewardship in understanding climate change",weather
"Easter, stewardship and God's climate plan: 
If we broke it, it is probably safe to say that God expects us to fix it.",environment
We'd probably get farther with Christian fundamentalists by telling them that climate change is God showing his displeasure at our stewardship of His creation.,Showerthoughts
I Am Crowdfunding A Climate Change Fighting Antarctica Shaped Bowl. It's a Direct Result of the Trump/GOP government seemingly doing everything possible to deny climate change and forgo any notion of environmental stewardship.,MarchAgainstTrump
Tax Credits for Canadian cleantech companies,ChunkyDD
Any advice for allyship on Massachusett/Pawtucket land?,IndianCountry
@BernieSanders: We must enlist farmers as partners in promoting conservation and stewardship to keep our air and water clean and to combat climate change.,USE2016
